week,player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
0,Daba Fofana,144305,FB,NAVY,1,0,237,54.4,50.0,9,39.1,18,55.1,0,60.5,23,38,,0.0,0,0.0,1
0,Naeer Jackson,156546,G,FIU,1,0,166,51.6,100.0,6,26.1,6,54.3,0,100.0,23,23,58.6,100.0,15,65.2,15
0,Jalen Mayden,83520,QB,S DIEGO ST,1,0,284,60.0,73.7,14,63.6,19,60.0,0,73.3,22,30,60.0,80.0,8,36.4,10
0,Dean Patterson,145224,WR,FIU,1,0,166,60.5,100.0,4,18.2,4,77.9,0,100.0,22,22,61.5,100.0,15,68.2,15
0,Jerren Gilbert,122673,G,LA TECH,1,0,208,57.8,100.0,9,40.9,9,60.1,0,100.0,22,22,61.7,100.0,11,50.0,11
0,Jonah Monheim,86461,T,USC,1,0,326,71.1,100.0,11,50.0,11,73.1,0,100.0,22,22,67.7,100.0,10,45.5,10
0,Justin Dedich,83018,C,USC,1,0,326,65.0,100.0,11,50.0,11,68.3,0,100.0,22,22,66.4,100.0,10,45.5,10
0,Ryan Rivera,91360,TE,LA TECH,1,0,208,63.3,100.0,8,36.4,8,62.3,0,100.0,22,22,59.8,100.0,12,54.5,12
0,Tyler Ostrom,81818,G,S JOSE ST,1,0,285,53.8,100.0,10,47.6,10,58.1,0,100.0,21,21,76.4,100.0,9,42.9,9
0,Anthony Pardue,81819,C,S JOSE ST,1,0,285,48.3,100.0,10,47.6,10,45.0,1,100.0,21,21,49.6,100.0,9,42.9,9
0,Marist Talavou,72200,G,S JOSE ST,1,0,285,59.3,100.0,10,47.6,10,49.3,0,100.0,21,21,50.8,100.0,9,42.9,9
0,Fernando Carmona,146185,T,S JOSE ST,1,0,285,50.1,100.0,10,47.6,10,72.0,0,100.0,21,21,87.1,100.0,9,42.9,9
0,Taisun Phommachanh,99577,QB,UMASS,1,0,216,60.0,60.0,15,71.4,25,60.0,0,63.6,21,33,60.0,50.0,2,9.5,4
0,Jacob Barrick,163938,TE,JVILLE ST,1,0,196,58.5,100.0,4,19.0,4,71.6,0,100.0,21,21,76.7,100.0,14,66.7,14
0,Grayson James,145214,QB,FIU,1,0,166,60.0,85.7,6,28.6,7,60.0,0,77.8,21,27,60.0,88.2,15,71.4,17
0,Bradley Ashmore,124344,T,VANDERBILT,1,0,333,72.5,100.0,5,23.8,5,82.0,0,100.0,21,21,78.4,100.0,10,47.6,10
0,Jaime Navarro,81533,T,S JOSE ST,1,0,285,63.9,100.0,10,47.6,10,52.3,0,100.0,21,21,42.4,100.0,9,42.9,9
0,Delfin Xavier Castillo,146960,G,VANDERBILT,1,0,333,65.8,100.0,4,19.0,4,65.8,0,100.0,21,21,61.3,100.0,11,52.4,11
0,Jacob Peace,78371,G,FIU,1,0,166,57.0,100.0,3,15.0,3,64.4,0,100.0,20,20,67.9,100.0,14,70.0,14
0,Michael Tarquin,98407,T,USC,1,0,326,56.5,100.0,10,50.0,10,61.8,0,100.0,20,20,66.0,100.0,10,50.0,10
0,Sergio Muasau,86114,G,HAWAII,1,0,180,48.7,100.0,11,55.0,11,51.5,0,100.0,20,20,59.6,100.0,9,45.0,9
0,Jayden Thomas,147485,WR,NOTRE DAME,1,0,258,72.0,100.0,10,50.0,10,56.4,0,100.0,20,20,62.1,100.0,10,50.0,10
0,Travis Burke,147952,T,FIU,1,0,166,59.2,100.0,3,15.0,3,65.9,0,100.0,20,20,67.2,100.0,14,70.0,14
0,AJ Swann,157186,QB,VANDERBILT,1,0,333,60.0,100.0,5,25.0,5,60.0,0,87.0,20,23,60.0,100.0,13,65.0,13
0,Quinton Lane,109511,WR,JVILLE ST,1,0,196,60.7,100.0,6,30.0,6,62.5,0,100.0,20,20,61.6,100.0,11,55.0,11
0,Nick Nash,98679,WR,S JOSE ST,1,0,285,59.1,100.0,10,50.0,10,75.5,0,100.0,20,20,61.7,100.0,9,45.0,9
0,Eliki Tanuvasa,79663,C,HAWAII,1,0,180,56.7,100.0,11,55.0,11,56.5,0,100.0,20,20,58.4,100.0,9,45.0,9
0,Ka'ena Decambra,146066,G,HAWAII,1,0,180,45.0,100.0,11,55.0,11,54.2,0,100.0,20,20,67.6,100.0,9,45.0,9
0,Justin Ball,98576,TE,VANDERBILT,1,0,333,44.0,100.0,4,21.1,4,58.0,0,100.0,19,19,59.8,100.0,10,52.6,10
0,Jay Rudolph,128313,TE,S DIEGO ST,1,0,284,48.0,100.0,11,57.9,11,64.4,0,100.0,19,19,86.3,100.0,7,36.8,7
0,Josh Atkins,144243,T,HAWAII,1,0,180,40.9,100.0,10,52.6,10,51.4,0,100.0,19,19,67.9,100.0,9,47.4,9
0,Greyson Morgan,158181,TE,HAWAII,1,0,180,54.4,100.0,9,50.0,9,72.0,0,100.0,18,18,80.7,100.0,9,50.0,9
0,Chevan Cordeiro,75886,QB,S JOSE ST,1,0,285,60.0,100.0,10,55.6,10,60.0,0,85.7,18,21,60.0,88.9,8,44.4,9
0,Steven McBride,122570,WR,HAWAII,1,0,180,60.6,100.0,9,50.0,9,45.7,0,100.0,18,18,61.8,100.0,9,50.0,9
0,Josiah Miamen,101689,TE,FIU,1,0,166,67.8,100.0,3,16.7,3,75.3,0,100.0,18,18,71.1,100.0,13,72.2,13
0,Shedrick Rhodes Jr.,130602,T,OHIO,1,0,259,50.0,100.0,8,44.4,8,63.4,0,100.0,18,18,74.0,100.0,8,44.4,8
0,Chris Bellamy,156923,WR,NEW MEX ST,1,0,242,61.1,100.0,7,38.9,7,61.4,0,100.0,18,18,61.1,100.0,10,55.6,10
0,Will Sheppard,124360,WR,VANDERBILT,1,0,333,60.4,100.0,4,22.2,4,62.3,0,100.0,18,18,62.4,100.0,12,66.7,12
0,Brent Self,144344,C,NAVY,1,0,237,67.4,100.0,7,38.9,7,59.7,0,100.0,18,18,,,0,0.0,0
0,Brayden Schager,146078,QB,HAWAII,1,0,180,60.0,90.0,9,50.0,10,60.0,0,94.7,18,19,60.0,100.0,9,50.0,9
0,Caleb Williams,144622,QB,USC,1,0,326,60.0,90.9,10,58.8,11,60.0,0,77.3,17,22,60.0,70.0,7,41.2,10
0,Sam Olson,128333,TE,S JOSE ST,1,0,285,39.0,100.0,8,47.1,8,35.0,0,100.0,17,17,61.1,100.0,8,47.1,8
0,Lake McRee,146418,TE,USC,1,0,326,38.9,100.0,9,52.9,9,41.3,0,100.0,17,17,56.1,100.0,7,41.2,7
0,Shamarr Jackson,171069,G,NEW MEX ST,1,0,242,58.2,100.0,8,47.1,8,57.4,0,100.0,17,17,58.0,100.0,8,47.1,8
0,Brock Rechsteiner,150309,WR,JVILLE ST,1,0,196,60.0,100.0,3,17.6,3,61.3,0,100.0,17,17,61.6,100.0,10,58.8,10
0,Charles Ross,97855,WR,S JOSE ST,1,0,285,59.5,100.0,8,47.1,8,60.9,0,100.0,17,17,61.5,100.0,8,47.1,8
0,Louie Canepa,156939,T,NEW MEX ST,1,0,242,52.0,100.0,8,47.1,8,60.4,0,100.0,17,17,68.2,100.0,8,47.1,8
0,Gino Campiotti,78504,TE,UMASS,1,0,216,54.0,100.0,13,76.5,13,68.6,0,100.0,17,17,71.6,100.0,3,17.6,3
0,Tyler Foster,98497,TE,OHIO,1,0,259,55.9,100.0,5,29.4,5,61.5,0,100.0,17,17,66.0,100.0,12,70.6,12
0,Kyle Maxwell,98110,WR,LA TECH,1,0,208,60.4,100.0,4,25.0,4,78.6,0,100.0,16,16,80.7,100.0,12,75.0,12
0,Julian Lopez,100864,FB,UTEP,1,0,330,58.2,100.0,3,18.8,3,55.7,0,100.0,16,16,56.1,100.0,12,75.0,12
0,CJ Harris,130594,QB,OHIO,1,0,259,60.0,75.0,6,37.5,8,60.0,0,80.0,16,20,60.0,90.0,9,56.3,10
0,Maurice Ta'ala,128215,G,HAWAII,1,0,180,63.5,100.0,8,50.0,8,72.8,0,100.0,16,16,74.4,100.0,8,50.0,8
0,Jarrett Kingston,81933,G,USC,1,0,326,64.6,100.0,7,43.8,7,64.9,0,100.0,16,16,61.9,100.0,8,50.0,8
0,Jackson McDonald,98374,TE,FIU,1,0,166,56.9,100.0,4,25.0,4,54.8,0,100.0,16,16,57.4,100.0,10,62.5,10
0,Mark Pope,78014,WR,UMASS,1,0,216,60.6,100.0,12,80.0,12,60.5,1,93.8,15,16,60.0,100.0,2,13.3,2
0,Gino Quinones,100374,G,USC,1,0,326,71.5,100.0,7,46.7,7,71.6,0,100.0,15,15,64.4,100.0,8,53.3,8
0,Brandon Chatman,162541,HB,NAVY,1,0,237,47.0,72.7,8,53.3,11,48.2,0,65.2,15,23,,,0,0.0,0
0,Tobias Merriweather,156980,WR,NOTRE DAME,1,0,258,80.8,100.0,8,53.3,8,79.0,0,100.0,15,15,61.4,100.0,7,46.7,7
0,Emmanuel Pregnon,128427,G,USC,1,0,326,64.5,100.0,6,40.0,6,62.1,0,100.0,15,15,58.3,100.0,8,53.3,8
0,Diego Pavia,156927,QB,NEW MEX ST,1,0,242,60.0,70.0,7,46.7,10,60.0,0,71.4,15,21,60.0,70.0,7,46.7,10
0,Jamoni Jones,156922,HB,NEW MEX ST,1,0,242,69.0,77.8,7,46.7,9,64.9,0,75.0,15,20,58.1,66.7,6,40.0,9
0,Cameron Harpole,146163,TE,S DIEGO ST,1,0,284,56.6,100.0,11,73.3,11,47.0,0,100.0,15,15,41.8,100.0,4,26.7,4
0,Jalen Bracey,138149,WR,FIU,1,0,166,60.1,85.7,6,42.9,7,59.2,0,93.3,14,15,58.8,100.0,7,50.0,7
0,Brionne Penny,101332,WR,S DIEGO ST,1,0,284,54.9,100.0,10,71.4,10,72.3,0,100.0,14,14,60.3,100.0,4,28.6,4
0,Malikhi Miller,101353,WR,S JOSE ST,1,0,285,59.9,100.0,5,35.7,5,61.0,0,100.0,14,14,61.0,100.0,7,50.0,7
0,Eni Falayi,147417,TE,UMASS,1,0,216,66.0,100.0,10,76.9,10,58.3,0,100.0,13,13,60.0,100.0,1,7.7,1
0,Kyron Hudson,146411,WR,USC,1,0,326,60.5,100.0,6,46.2,6,56.9,0,100.0,13,13,55.7,100.0,6,46.2,6
0,Jayden McGowan,157184,WR,VANDERBILT,1,0,333,60.0,66.7,2,15.4,3,60.9,0,86.7,13,15,61.1,87.5,7,53.8,8
0,Gamarion Carter,146964,WR,VANDERBILT,1,0,333,57.4,100.0,3,23.1,3,56.8,0,100.0,13,13,61.0,100.0,6,46.2,6
0,Rico Flores Jr.,171083,WR,NOTRE DAME,1,0,258,61.0,100.0,7,53.8,7,61.9,0,100.0,13,13,61.1,100.0,6,46.2,6
0,Thomaz Whitford,138497,TE,NEW MEX ST,1,0,242,70.1,100.0,5,38.5,5,56.7,0,100.0,13,13,47.8,100.0,6,46.2,6
0,Nate Jones,162959,TE,LA TECH,1,0,208,54.1,100.0,4,33.3,4,40.4,0,100.0,12,12,58.1,100.0,5,41.7,5
0,Logan Kyle,124353,TE,VANDERBILT,1,0,333,84.7,100.0,2,16.7,2,67.0,0,92.3,12,13,48.4,100.0,6,50.0,6
0,Biron Rossell,78388,G,LA TECH,1,0,208,57.6,100.0,5,41.7,5,52.2,0,100.0,12,12,53.1,100.0,6,50.0,6
0,Pofele Ashlock,158166,WR,HAWAII,1,0,180,61.1,100.0,6,50.0,6,61.9,0,100.0,12,12,61.0,100.0,6,50.0,6
0,Makai Lemon,174150,WR,USC,1,0,326,60.0,100.0,4,33.3,4,81.3,0,100.0,12,12,61.6,100.0,8,66.7,8
0,Jeremiah Ballard,145495,WR,UTEP,1,0,330,60.0,100.0,1,8.3,1,62.1,0,100.0,12,12,61.7,100.0,10,83.3,10
0,Perry Carter,61384,WR,JVILLE ST,1,0,196,60.1,100.0,3,25.0,3,44.7,0,100.0,12,12,60.5,100.0,5,41.7,5
0,Tru Edwards,146058,WR,LA TECH,1,0,208,60.0,100.0,6,50.0,6,44.1,0,100.0,12,12,60.5,100.0,5,41.7,5
0,Dorian Singer,146243,WR,USC,1,0,326,81.1,100.0,8,66.7,8,79.0,0,100.0,12,12,60.3,100.0,4,33.3,4
0,Kay'Ron Lynch-Adams,101643,HB,UMASS,1,0,216,57.2,36.8,7,58.3,19,56.6,0,46.2,12,26,60.0,50.0,2,16.7,4
