week,player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
1,Josiah Bronson,36668,DI,WASHINGTON,1,0,0,340,59.6,0,1,16,94.4,6.3,1,0,9.4,1,18,17,2,0,64.0,0,1,6,100.0,16.7,1,25.0,1,6,6,2
1,Chauncey Rivers,36669,ED,MISS STATE,1,0,0,227,57.8,0,1,24,92.3,4.2,1,0,2.1,0,26,24,1,0,55.3,0,1,6,100.0,0.0,0,8.3,0,6,6,1
1,Aaron Blackwell,36741,DI,NEW MEXICO,1,0,0,241,66.8,0,2,7,100.0,14.3,1,0,14.3,0,8,8,2,0,,0,0,0,,,0,,0,0,0,0
1,Javier Carbonell,36769,DI,ARK STATE,1,0,0,113,68.7,1,1,14,100.0,21.4,3,0,7.1,0,16,16,2,0,68.6,1,1,6,100.0,33.3,2,16.7,0,7,7,2
1,Michael Barnett,36829,DI,GEORGIA,1,0,0,173,65.6,0,3,16,100.0,12.5,2,0,9.4,0,16,16,3,0,56.7,0,1,6,100.0,0.0,0,8.3,0,6,6,1
1,T.J. Smith,36851,DI,ARKANSAS,1,0,0,111,74.5,0,5,24,100.0,16.7,4,0,10.4,0,25,25,5,0,78.7,0,4,10,100.0,30.0,3,20.0,0,11,11,4
1,Brandon Maddox,36893,DI,VANDERBILT,1,0,0,333,57.1,0,0,7,100.0,0.0,0,0,0.0,0,8,8,0,0,57.2,0,0,3,100.0,0.0,0,0.0,0,3,3,0
1,Calvin Taylor Jr.,36974,DI,KENTUCKY,1,0,0,202,64.6,1,2,25,100.0,12.0,3,0,10.0,1,26,26,4,0,59.3,1,1,9,100.0,11.1,1,11.1,0,9,9,2
1,Micah Dew-Treadway,37050,DI,MINNESOTA,1,0,0,225,57.9,0,0,18,100.0,0.0,0,0,0.0,0,18,18,0,0,58.2,0,0,3,100.0,0.0,0,0.0,0,3,3,0
1,Tony Fair,37101,DI,UAB,1,0,0,321,59.1,0,0,5,100.0,0.0,0,0,0.0,0,5,5,0,0,,0,0,0,,,0,,0,0,0,0
1,Terry Whittington,37272,ED,SO MISS,1,0,0,296,72.9,0,2,11,63.2,18.2,2,1,27.3,2,19,12,4,0,77.6,0,0,4,100.0,25.0,1,50.0,2,5,5,2
1,Courtney Wallace,37417,DI,LA TECH,1,0,0,208,54.7,0,0,35,100.0,0.0,0,0,0.0,0,35,35,0,0,55.5,0,0,13,100.0,0.0,0,0.0,0,13,13,0
1,Jaunta'vius Johnson,37418,DI,UAB,1,0,0,321,58.1,0,0,4,100.0,0.0,0,0,0.0,0,6,6,0,0,59.3,0,0,0,100.0,,0,,0,2,2,0
1,Rocel McWilliams,38290,DI,S ALABAMA,1,0,0,288,58.3,0,0,16,94.7,0.0,0,0,0.0,0,19,18,0,0,65.0,0,0,3,100.0,0.0,0,0.0,0,3,3,0
1,Bryce English,38294,DI,N TEXAS,1,0,0,251,57.6,0,2,8,100.0,0.0,0,0,12.5,0,8,8,2,0,59.8,0,1,1,100.0,0.0,0,50.0,0,1,1,1
1,J.R. Reed,38339,S,GEORGIA,1,0,0,173,66.9,0,0,2,6.5,50.0,1,0,0.0,0,31,2,0,0,66.2,0,0,1,7.7,100.0,1,0.0,0,13,1,0
1,Tyler Johnson,38402,ED,WISCONSIN,1,0,0,349,63.4,0,1,6,100.0,16.7,1,0,8.3,0,7,7,1,0,,0,0,0,,,0,,0,0,0,0
1,Cameron Goode,38410,ED,CAL,1,0,0,130,70.7,1,2,24,78.1,20.8,5,0,10.4,1,32,25,4,0,68.9,1,1,13,100.0,30.8,4,7.7,0,13,13,2
1,Vic Viramontes,38446,LB,UNLV,1,0,0,325,60.0,0,0,0,3.7,,0,0,,0,27,1,0,0,,0,0,0,0.0,,0,,0,5,0,0
1,Casey Toohill,38472,ED,STANFORD,1,0,0,300,65.0,1,1,20,91.7,15.0,3,0,10.0,1,24,22,3,0,53.8,0,1,7,87.5,14.3,1,7.1,0,8,7,1
1,Traveon Beck,38490,CB,CAL,1,0,0,130,59.7,0,0,1,4.5,0.0,0,0,0.0,0,22,1,0,0,,0,0,0,0.0,,0,,0,13,0,0
1,Viane Moala,38501,DI,UTAH,1,0,0,328,61.5,0,0,12,100.0,8.3,1,0,0.0,0,12,12,0,0,57.1,0,0,5,100.0,0.0,0,0.0,0,5,5,0
1,Gunnar Roberge,38511,DI,WISCONSIN,1,0,0,349,57.8,0,0,4,100.0,0.0,0,0,0.0,0,5,5,0,0,58.1,0,0,2,100.0,0.0,0,0.0,0,3,3,0
