week,player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
1,Alec Abeln,46639,G,MISSOURI,1,100.0,0,229,64.5,88.6,57.7,0,0,59,100.0,100.0,100.0,0,0,0,103,0,0,0,103,62,62,103,0,41,0
1,Ryan Melton,46369,T,TEXAS ST,1,100.0,0,314,65.9,49.5,71.8,1,5,61,100.0,100.0,91.8,1,8,2,102,0,0,102,102,66,66,0,0,36,0
1,Giuliano Cattaneo,45549,C,TEXAS ST,1,100.0,0,314,54.4,51.2,58.2,0,7,61,100.0,100.0,92.6,1,8,1,102,102,0,0,102,66,66,0,0,36,0
1,Tryston Mizerak,46986,T,TEXAS ST,1,100.0,0,314,65.3,70.9,64.9,0,4,61,100.0,100.0,96.7,1,4,0,102,0,0,0,102,66,66,0,102,36,0
1,Jake Pruehs,45577,C,OHIO,1,100.0,0,259,73.8,70.2,69.0,0,0,49,100.0,100.0,100.0,0,0,0,102,102,0,0,102,52,52,0,0,50,0
1,Cameron Tom,12227,C,SO MISS,1,100.0,0,296,68.1,72.3,70.5,0,1,31,100.0,100.0,98.4,2,1,0,100,100,0,0,100,35,35,0,0,65,0
1,Rick Leonard,44802,T,FLORIDA ST,1,100.0,0,167,39.5,29.4,44.9,0,6,58,100.0,100.0,93.1,1,7,1,99,0,0,2,99,64,64,0,97,35,0
1,Alec Eberle,28392,C,FLORIDA ST,1,100.0,0,167,59.5,72.4,57.9,1,1,58,100.0,100.0,98.3,1,2,0,99,99,0,0,99,64,64,0,0,35,0
1,Troy Watson,46919,T,OHIO,1,100.0,0,259,70.6,81.8,63.6,0,1,47,100.0,100.0,98.9,0,1,0,99,0,0,0,99,50,50,0,99,49,0
1,Wilson Bell,46796,G,FLORIDA ST,1,100.0,0,167,50.9,22.1,61.2,0,5,58,100.0,100.0,95.7,1,5,0,99,0,0,0,99,64,64,99,0,35,0
1,Derrick Kelly II,46090,G,FLORIDA ST,1,100.0,0,167,51.9,32.4,53.8,3,1,58,100.0,100.0,94.8,1,5,1,99,0,99,0,99,64,64,0,0,35,0
1,Roderick Johnson,11915,T,FLORIDA ST,1,100.0,1,167,59.0,54.4,70.7,2,1,58,100.0,100.0,95.7,3,4,1,99,0,0,93,99,64,64,0,0,35,6
1,Chase Roullier,11954,C,WYOMING,1,100.0,0,351,78.8,80.5,74.4,0,0,37,100.0,100.0,100.0,0,0,0,95,95,0,0,95,45,45,0,0,50,0
1,Kaden Jackson,46644,G,WYOMING,1,100.0,0,351,81.5,86.9,86.4,0,0,37,100.0,100.0,100.0,1,0,0,95,0,0,0,95,45,45,95,0,50,0
1,Gavin Rush,29617,G,WYOMING,1,100.0,0,351,56.6,39.8,57.9,0,4,37,100.0,100.0,94.6,1,4,0,95,0,95,0,95,45,45,0,0,50,0
1,Zach Wallace,46359,T,WYOMING,1,100.0,0,351,70.6,74.0,66.6,0,2,37,100.0,100.0,97.3,0,2,0,95,0,0,95,95,45,45,0,0,50,0
1,Ryan Cummings,46962,T,WYOMING,1,100.0,0,351,74.0,74.4,74.5,0,1,37,100.0,100.0,98.6,3,1,0,95,0,0,0,95,45,45,0,95,50,0
1,Felix Romero,46609,G,TEXAS ST,1,100.0,0,314,64.3,90.8,56.9,0,0,56,100.0,100.0,100.0,0,0,0,94,0,0,0,94,61,61,94,0,33,0
1,Tim Lynott,26025,G,COLORADO,1,100.0,0,143,74.5,75.0,77.1,0,1,35,100.0,100.0,98.6,1,1,0,93,0,0,0,93,37,37,93,0,56,0
1,Connor Williams,46216,T,TEXAS,1,100.0,0,311,92.0,83.5,89.9,0,0,28,100.0,100.0,100.0,0,0,0,92,0,0,89,92,30,30,0,0,62,3
1,Patrick Vahe,46039,G,TEXAS,1,100.0,0,311,53.3,21.6,59.0,2,0,28,100.0,100.0,96.4,1,2,0,92,0,92,0,92,30,30,0,0,62,0
1,Zach Shackelford,41139,C,TEXAS,1,100.0,0,311,34.4,62.4,38.5,0,0,28,100.0,100.0,100.0,1,0,0,92,92,0,0,92,30,30,0,0,62,0
1,Devin Farrior,46646,G,SO MISS,1,100.0,0,296,72.3,85.4,69.9,0,0,26,100.0,100.0,100.0,0,0,0,92,0,0,0,92,30,30,92,0,62,0
1,Joe Noteboom,46249,T,TCU,1,100.0,0,305,68.0,79.3,59.0,0,2,54,100.0,100.0,98.1,0,2,0,91,0,0,90,91,60,60,0,1,31,0
1,Dorian Miller,46151,G,RUTGERS,1,100.0,0,278,58.6,58.1,61.0,0,2,44,100.0,100.0,97.7,2,2,0,90,0,90,0,90,45,45,0,0,45,0
1,Matt Pryor,46647,G,TCU,1,100.0,0,305,65.5,79.9,61.0,0,1,53,100.0,100.0,99.1,0,1,0,90,0,1,0,90,59,59,89,0,31,0
1,Tariq Cole,46311,T,RUTGERS,1,100.0,0,278,73.3,79.1,72.6,0,1,44,100.0,100.0,98.9,1,1,0,90,0,0,90,90,45,45,0,0,45,0
1,Derrick Nelson,16846,C,RUTGERS,1,100.0,0,278,52.3,76.4,48.7,0,2,44,100.0,100.0,97.7,0,2,0,90,90,0,0,90,45,45,0,0,45,0
1,Jonathan McLaughlin,12018,T,VA TECH,1,100.0,0,337,64.2,85.5,55.1,0,0,43,100.0,100.0,100.0,0,0,0,90,0,0,0,90,43,43,0,90,47,0
1,J.J. Denman,46913,T,RUTGERS,1,100.0,0,278,56.7,50.0,62.6,1,2,44,100.0,100.0,96.6,1,3,0,90,0,0,0,90,45,45,0,90,45,0
1,Patrick Morris,46084,G,TCU,1,100.0,0,305,62.0,76.7,56.4,0,0,54,100.0,100.0,100.0,1,0,0,90,3,85,1,90,60,60,1,0,30,0
1,Kenny Lacy,46034,G,UCLA,1,100.0,0,324,64.1,48.9,67.6,1,1,54,100.0,100.0,96.3,0,3,1,89,0,89,0,89,57,57,0,0,32,0
1,Kolton Miller,47013,T,UCLA,1,100.0,0,324,73.6,50.7,82.4,1,5,54,100.0,100.0,94.4,0,6,0,89,0,0,0,89,57,57,0,89,32,0
1,Gerard Kough,46110,G,COLORADO,1,100.0,0,143,63.8,52.8,64.3,0,0,35,100.0,100.0,97.1,0,1,1,89,0,89,0,89,37,37,0,0,52,0
1,Conor McDermott,11966,T,UCLA,1,100.0,0,324,43.2,8.3,63.0,4,6,54,100.0,100.0,88.9,0,11,1,89,0,0,89,89,57,57,0,0,32,0
1,Sam Kronshage,46886,T,COLORADO,1,100.0,0,143,81.0,75.2,78.3,1,0,35,100.0,100.0,98.6,0,1,0,89,0,0,0,89,37,37,0,89,52,0
1,Scott Quessenberry,23918,C,UCLA,1,100.0,0,324,58.7,53.3,60.6,0,3,54,100.0,100.0,97.2,0,3,0,89,89,0,0,89,57,57,0,0,32,0
1,Jeromy Irwin,22062,T,COLORADO,1,100.0,0,143,79.7,69.1,78.2,0,3,35,100.0,100.0,95.7,1,3,0,89,0,0,88,89,37,37,0,0,52,1
1,Tyler O'Henly,46879,T,BUFFALO,1,100.0,0,126,70.2,40.5,79.0,0,2,39,100.0,100.0,94.9,2,3,1,87,0,0,0,87,43,43,0,87,44,0
1,Tyler Orlosky,12256,C,W VIRGINIA,1,100.0,0,343,85.6,84.3,79.5,0,0,39,100.0,100.0,100.0,0,0,0,87,87,0,0,87,41,41,0,0,46,0
1,Brandon Manosalvas,23785,G,BUFFALO,1,100.0,0,126,72.7,59.2,78.9,1,1,39,100.0,100.0,97.4,0,2,0,87,0,87,0,87,43,43,0,0,44,0
1,James O'Hagan,28134,C,BUFFALO,1,100.0,0,126,72.0,75.0,71.4,0,0,39,100.0,100.0,100.0,2,0,0,87,87,0,0,87,43,43,0,0,44,0
1,Roubbens Joseph,46330,T,BUFFALO,1,100.0,0,126,70.5,63.5,74.8,1,0,39,100.0,100.0,98.7,1,1,0,87,0,0,87,87,43,43,0,0,44,0
1,David Goldsby,46650,T,BUFFALO,1,100.0,0,126,66.3,82.5,62.7,1,0,39,100.0,100.0,98.7,1,1,0,87,0,0,0,87,43,43,87,0,44,0
1,Austin Schlottmann,30097,C,TCU,1,100.0,1,305,65.2,86.1,60.7,0,0,54,100.0,100.0,100.0,1,0,0,87,87,0,0,87,60,60,0,0,27,0
1,Durrell Wood,46665,G,OHIO,1,100.0,0,259,71.1,86.2,68.0,0,0,43,100.0,100.0,100.0,0,0,0,86,0,0,0,86,46,46,86,0,40,0
1,Chukwuma Okorafor,46302,T,W MICHIGAN,1,100.0,0,347,49.7,54.2,52.5,2,3,43,100.0,100.0,94.2,1,5,0,86,0,0,86,86,45,45,0,0,41,0
1,Luke Juriga,29571,G,W MICHIGAN,1,100.0,0,347,58.3,75.1,57.7,1,0,43,100.0,100.0,98.8,1,1,0,86,0,0,0,86,45,45,86,0,41,0
1,Colton Prater,46078,G,TEXAS A&M,1,100.0,0,312,37.5,3.8,49.7,1,5,44,100.0,100.0,93.2,0,6,0,86,0,86,0,86,47,47,0,0,39,0
1,Taylor Moton,11819,T,W MICHIGAN,1,100.0,0,347,70.2,77.0,64.7,0,1,43,100.0,100.0,98.8,0,1,0,86,0,0,0,86,45,45,0,82,41,4
1,Jackson Day,46126,G,W MICHIGAN,1,100.0,0,347,62.9,48.6,64.6,2,2,43,100.0,100.0,95.3,0,4,0,86,0,86,0,86,45,45,0,0,41,0
1,Jermaine Eluemunor,11914,T,TEXAS A&M,1,100.0,0,312,63.4,74.4,62.3,0,2,44,100.0,100.0,97.7,1,2,0,86,0,0,0,86,47,47,0,86,39,0
1,John Keenoy,45568,C,W MICHIGAN,1,100.0,0,347,58.8,74.7,54.7,0,1,43,100.0,100.0,98.8,0,1,0,86,86,0,0,86,45,45,0,0,41,0
1,Connor Lanfear,46797,G,TEXAS A&M,1,100.0,0,312,58.2,58.4,56.5,0,1,44,100.0,100.0,98.9,0,1,0,86,0,0,0,86,47,47,86,0,39,0
1,Erik McCoy,37347,C,TEXAS A&M,1,100.0,1,312,71.9,83.9,69.5,0,0,44,100.0,100.0,100.0,1,0,0,86,86,0,0,86,47,47,0,0,39,0
1,Colin Sandor,46050,G,AIR FORCE,1,100.0,0,101,67.7,82.1,65.8,0,0,13,100.0,100.0,100.0,0,0,0,85,0,83,0,85,16,16,0,0,69,1
1,Michael Jordan,28021,G,OHIO STATE,1,100.0,0,260,64.5,79.7,65.0,0,1,38,100.0,100.0,98.7,1,1,0,85,0,85,0,85,40,40,0,0,45,0
1,Alex Norton,46776,G,AIR FORCE,1,100.0,0,101,60.9,42.0,61.0,0,2,13,100.0,100.0,92.3,0,2,0,85,1,0,0,85,16,16,83,0,69,0
1,Allen Caunitz,46308,T,AIR FORCE,1,100.0,0,101,78.4,83.5,73.9,0,0,13,100.0,100.0,100.0,0,0,0,85,0,0,83,85,16,16,0,1,69,0
1,James Rast,46985,T,AIR FORCE,1,100.0,0,101,62.9,73.1,60.1,0,0,13,100.0,100.0,100.0,0,0,0,85,0,0,0,85,16,16,0,84,69,0
1,Marcel Lazard,46943,T,W VIRGINIA,1,100.0,0,343,65.4,81.4,57.7,0,0,38,100.0,100.0,100.0,0,0,0,84,0,0,0,84,40,40,0,84,44,0
1,Dylan Vail,25144,C,AIR FORCE,1,100.0,0,101,60.4,47.2,60.2,0,1,13,100.0,100.0,96.2,0,1,0,84,83,0,0,84,16,16,1,0,68,0
1,Mac Long,46821,G,HOUSTON,1,100.0,0,182,55.5,62.4,51.8,0,2,46,100.0,100.0,97.8,0,2,0,84,0,0,0,84,50,50,84,0,34,0
1,Will Noble,26633,C,HOUSTON,1,100.0,0,182,54.2,75.4,52.5,0,2,46,100.0,100.0,97.8,1,2,0,84,84,0,0,84,50,50,0,0,34,0
1,Vinnie Palazeti,22487,C,BALL ST,1,100.0,0,117,75.2,67.4,72.1,1,0,32,100.0,100.0,98.4,1,1,0,83,83,0,0,83,33,33,0,0,50,0
1,Pat Maloney,25010,G,BALL ST,1,100.0,0,117,65.6,72.9,67.4,0,0,32,100.0,100.0,100.0,1,0,0,83,0,0,0,83,33,33,83,0,50,0
1,Steven Bell,23835,T,BALL ST,1,100.0,0,117,78.4,58.3,80.4,2,0,32,100.0,100.0,93.7,0,3,1,83,0,0,0,83,33,33,0,83,50,0
1,Jamarco Jones,46226,T,OHIO STATE,1,100.0,0,260,80.4,81.6,76.1,0,1,37,100.0,100.0,98.6,0,1,0,83,0,0,83,83,39,39,0,0,44,0
1,Drake Miller,25278,T,BALL ST,1,100.0,0,117,69.6,88.7,66.1,0,0,32,100.0,100.0,100.0,1,0,0,83,0,0,83,83,33,33,0,0,50,0
1,Sam Rice,18706,C,N TEXAS,1,100.0,0,251,65.5,79.9,59.5,1,1,59,100.0,100.0,96.6,0,3,1,83,0,83,0,83,63,63,0,0,20,0
1,Alex Joss,46147,G,BALL ST,1,100.0,0,117,65.0,81.1,65.7,0,0,32,100.0,100.0,100.0,0,0,0,83,0,83,0,83,33,33,0,0,50,0
1,Aviante Collins,12049,T,TCU,1,100.0,1,305,66.3,87.1,63.5,0,0,50,100.0,100.0,100.0,2,0,0,83,0,0,0,83,55,55,1,82,28,0
1,Derron Gatewood,30523,C,UTEP,1,100.0,0,330,65.0,84.2,63.2,0,0,30,100.0,100.0,100.0,1,0,0,82,82,0,0,82,33,33,0,0,49,0
1,Eric Gallo,41666,C,VA TECH,1,100.0,0,337,56.1,64.7,54.0,0,0,42,100.0,100.0,100.0,0,0,0,82,82,0,0,82,42,42,0,0,40,0
1,Trey Keenan,46944,T,N TEXAS,1,100.0,0,251,62.6,65.5,57.4,0,1,59,100.0,100.0,95.8,1,3,2,82,0,0,0,82,63,63,0,82,19,0
1,Jerome Daniels,39794,T,UTEP,1,100.0,0,330,71.5,87.9,64.0,0,0,30,100.0,100.0,100.0,0,0,0,82,0,0,80,82,33,33,0,0,49,1
1,Jerrod Brooks,45063,T,UTEP,1,100.0,0,330,77.2,77.0,73.3,1,0,30,100.0,100.0,98.3,0,1,0,82,0,0,0,82,33,33,0,81,49,1
1,Will Hernandez,46180,G,UTEP,1,100.0,0,330,74.7,87.1,72.5,0,0,30,100.0,100.0,100.0,0,0,0,82,0,82,0,82,33,33,0,0,49,0
1,Yosh Nijman,60822,T,VA TECH,1,100.0,0,337,72.2,88.5,63.4,0,1,42,100.0,100.0,98.8,0,1,0,82,0,0,82,82,42,42,0,0,40,0
1,John De La Rosa,46654,T,UTEP,1,100.0,0,330,54.1,44.7,57.7,1,1,30,100.0,100.0,96.7,1,2,0,82,0,0,0,82,33,33,82,0,49,0
1,Na'Ty Rodgers,47020,T,HOUSTON,1,100.0,1,182,65.8,86.1,66.0,0,0,44,100.0,100.0,100.0,2,0,0,81,0,0,0,81,48,48,0,81,33,0
1,Cody O'Connell,46154,G,WASH STATE,1,100.0,0,341,71.1,81.2,69.3,0,1,56,100.0,100.0,99.1,0,1,0,81,0,81,0,81,60,60,0,0,21,0
