week,player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
0,X'Zavion Evans,174273,HB,NORFOLK,1,13,5,1,39.0,23,0,59,0,0,5,35,103.6,1,2,244,0,10,74.4,59.6,73.2,,,56.7,59.8,60.0,23,0,0,0,5,17,0,0,0,13,0,59,35,2.69,4.5,0.0,3
0,Kevon King,164728,HB,NORFOLK,1,13,4,2,68.3,97,0,142,0,0,4,24,56.8,3,5,244,0,9,74.4,74.5,73.2,,77.8,57.6,72.9,58.5,82,0,0,0,3,17,0,0,0,13,2,142,24,1.85,10.9,0.0,4
0,Jaden Sutton,109120,HB,DELWARE ST,1,12,3,1,30.4,17,0,56,1,2,3,35,97.2,2,3,152,0,2,74.5,74.7,76.0,,76.5,56.4,80.5,59.9,17,0,43,3,28,15,0,0,5,15,1,56,35,2.92,4.7,1.54,9
0,Jo'Shon Barbie,160174,HB,MCNEESE,1,12,3,1,26.2,16,0,61,0,0,3,51,98.1,3,4,217,2,5,14.4,52.4,73.9,,67.7,25.6,60.9,57.7,16,0,-4,1,4,17,0,0,1,13,0,61,51,4.25,5.1,-1.0,7
0,Derrel Kelley III,136894,HB,TARLETON,1,11,3,0,0.0,0,0,38,0,0,3,24,59.5,1,5,401,0,4,74.0,77.7,71.2,,72.3,57.1,75.7,60.0,13,0,0,0,4,13,0,0,0,11,1,38,24,2.18,3.5,0.0,7
0,Marqui Adams,161340,QB,DELWARE ST,1,11,7,0,0.0,0,0,0,0,0,2,6,133.3,3,3,152,1,2,70.3,56.4,20.5,60.5,,,55.6,60.0,10,1,0,0,0,20,55,8,0,3,1,55,45,4.09,5.0,,0
0,Kelvin Dean Jr.,97429,HB,FL A&M,1,11,2,0,0.0,0,0,49,0,0,2,26,43.0,1,2,164,1,6,23.9,56.0,74.2,,77.6,54.9,55.8,60.0,14,0,0,0,9,13,0,0,1,11,0,49,26,2.36,4.5,0.0,4
0,Ari Patu,146360,QB,N ALABAMA,1,10,1,0,0.0,0,0,25,0,0,1,9,25.0,2,2,389,1,3,34.7,49.3,76.2,45.0,,,60.5,60.0,25,0,0,0,0,25,33,4,0,6,1,58,22,2.2,5.8,,2
0,Thad Franklin Jr.,143940,HB,FL A&M,1,8,0,1,47.4,18,0,38,0,0,0,13,0.0,1,2,164,0,6,72.2,69.6,73.7,,,78.8,66.3,60.0,18,0,39,3,11,10,0,0,3,11,0,38,13,1.63,4.8,3.55,2
0,Jalen Daniels,191790,QB,NORFOLK,1,8,3,0,0.0,0,0,7,0,0,2,16,65.3,0,2,244,1,2,27.5,63.2,16.8,76.8,,,52.8,60.0,4,1,0,0,0,40,1,1,0,7,1,8,20,2.5,1.0,,3
