Rk,Team,Year,G#,,Opp.,Pts,PtsO,PtDif,TD,XPA,XPM,FGA,FGM,2PM,Sfty,KRTD,PRTD,INTD,FRTD,OppKRTD,OppPRTD,OppINTD,OppFRTD
81,N CAROLINA ,2014,1,,LIBERTY,56,29,27,8,8,8,1,0,0,1,0,0,0,0,0,0,0,0
82,NC STATE,2014,1,,GA SOUTHRN,24,23,1,3,3,3,3,1,0,0,0,0,0,0,0,0,0,0
83,N TEXAS,2014,1,@,TEXAS,7,38,-31,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
84,NWESTERN,2014,1,,CAL,24,31,-7,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0
85,NOTRE DAME,2014,1,,RICE,48,17,31,6,6,6,3,2,0,0,0,0,0,0,0,0,0,0
86,OHIO,2014,1,@,KENT STATE,17,14,3,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0
87,OHIO STATE,2014,1,N,NAVY,34,17,17,3,4,4,2,2,0,0,0,0,0,0,0,0,0,0
88,OKLAHOMA,2014,1,,LA TECH,48,16,32,6,6,6,2,2,0,0,0,0,0,0,0,0,0,0
89,OKLA STATE,2014,1,N,FLORIDA ST,31,37,-6,4,4,4,2,1,0,0,0,0,0,0,0,0,0,0
90,DOMINION,2014,1,,HAMPTON,41,28,13,6,6,5,0,0,0,0,0,0,0,0,0,0,0,0
91,OREGON,2014,1,,S DAKOTA,62,13,49,9,7,6,0,0,1,0,0,1,0,0,0,0,0,0
92,OREGON ST,2014,1,,PORTLAND,29,14,15,2,2,2,7,5,0,0,0,0,0,0,0,0,0,0
93,PENN STATE,2014,1,N,UCF ,26,24,2,2,2,2,4,4,0,0,0,0,0,0,0,0,0,0
94,PITTSBURGH,2014,1,,DELAWARE,62,0,62,9,9,8,0,0,0,0,0,0,0,0,0,0,0,0
95,PURDUE,2014,1,,W MICHIGAN ,43,34,9,5,5,4,3,3,0,0,0,0,0,0,0,0,0,0
96,RICE,2014,1,@,NOTRE DAME,17,48,-31,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0
97,S DIEGO ST,2014,1,,N ARIZONA,38,7,31,5,5,5,2,1,0,0,0,1,0,0,0,0,0,0
98,0,2014,1,,W CAROLINA,36,31,5,4,3,3,3,3,0,0,0,0,0,0,0,0,0,0
99,USC,2014,1,,FRESNO ST,52,13,39,7,7,7,2,1,0,0,0,0,0,0,0,0,0,0
100,SO MISS,2014,1,@,MISS STATE,0,49,-49,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
101,STANFORD,2014,1,,UC DAVIS,45,0,45,6,6,6,2,1,0,0,0,1,0,0,0,0,0,0
102,TEXAS,2014,1,,N TEXAS,38,7,31,5,5,5,2,1,0,0,0,0,0,0,0,0,0,0
103,TCU,2014,1,,SAMFORD,48,14,34,6,6,6,2,2,0,0,0,0,0,0,0,0,0,0
104,UTEP,2014,1,@,NEW MEXICO,31,24,7,4,4,4,1,1,0,0,0,0,0,0,0,0,0,0
105,TEXAS ST,2014,1,,ARKAPB,65,0,65,9,9,9,1,1,0,0,0,0,0,0,0,0,0,0
106,TEXAS TECH,2014,1,,CENT ARK,42,35,7,6,6,6,1,0,0,0,0,0,0,0,0,0,0,0
107,TOLEDO,2014,1,,NEW HAMP,54,20,34,7,6,6,2,2,0,0,0,0,0,0,0,0,0,0
108,TROY,2014,1,@,UAB,10,48,-38,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0
109,UCLA,2014,1,@,VIRGINIA,28,20,8,3,4,4,1,0,0,0,0,0,0,0,0,0,0,0
110,VIRGINIA,2014,1,,UCLA,20,28,-8,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
111,VA TECH,2014,1,,WM & MARY,34,9,25,4,4,4,2,2,0,0,0,0,0,0,0,0,0,0
112,WASHINGTON,2014,1,@,HAWAII,17,16,1,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0
113,W VIRGINIA,2014,1,N,ALABAMA,23,33,-10,2,2,2,4,3,0,0,1,0,0,0,0,0,0,0
