week,player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
0,Owen Carney,56637,ED,ILLINOIS,1,1,,,2.4,,,0,0,0,,187,61.0,66.2,0.0,73.2,58.5,75.2,0,,0.0,0,0,1,0.0,0,1,42,0,0,0,0,0,0,0.0,
0,Damian Jackson,56747,ED,NEBRASKA,1,0,6.0,100.0,50.0,1.0,1.0,0,0,0,0.0,238,54.6,42.1,73.5,60.0,51.2,73.0,0,9,0.0,0,0,0,104.2,1,1,2,0,1,1,0,9,3,9.0,9.0
0,Chris Kolarevic,58077,LB,NEBRASKA,1,0,9.0,100.0,100.0,6.0,6.0,0,0,0,0.0,238,45.5,42.1,70.1,,52.8,78.2,0,2,0.0,0,0,0,118.8,1,6,6,0,1,1,1,2,0,0.3,2.0
0,Rahyme Johnson,58225,LB,S JOSE ST,1,0,6.0,0.0,77.8,,7.0,0,0,1,100.0,285,78.7,73.2,69.1,56.6,60.0,73.2,0,,0.0,0,0,0,39.6,0,7,9,1,1,1,0,0,0,0.0,
0,Jordan Genmark Heath,60719,LB,UCLA,1,1,5.0,100.0,76.5,13.0,13.0,0,0,0,0.0,324,55.4,54.6,72.9,54.0,60.5,77.7,0,5,0.0,0,0,0,87.5,1,13,17,0,0,1,0,5,0,0.4,5.0
0,Deylon Williams,63365,ED,UTEP,1,0,,,6.3,,,0,0,0,,330,60.0,58.1,77.8,69.2,44.6,,0,,,0,0,0,0.0,0,1,16,0,0,0,0,0,0,0.0,
0,William Nimmo Jr.,71391,S,UCLA,1,0,-3.0,100.0,75.0,3.0,3.0,0,0,0,0.0,324,61.8,62.4,70.5,60.0,,,0,2,,0,0,0,79.2,1,3,4,0,0,1,0,2,5,0.7,2.0
0,McKel Broussard,73850,S,UTEP,1,0,,,100.0,,,0,0,0,,330,63.6,64.0,69.1,,60.0,74.3,0,,0.0,0,0,0,0.0,0,6,6,1,1,0,0,0,0,0.0,
0,Evan Williams,73864,S,FRESNO ST,1,0,-4.0,100.0,100.0,23.0,23.0,0,0,0,0.0,169,66.9,71.3,75.2,,74.8,78.9,0,4,0.0,0,0,0,83.3,1,25,25,0,1,1,0,4,8,0.2,4.0
0,Justin Houston,74101,CB,FRESNO ST,1,0,0.5,50.0,96.0,22.0,11.0,0,0,0,0.0,169,66.0,70.8,78.8,60.0,75.6,66.8,0,1,,0,0,0,56.3,1,24,25,0,0,2,0,1,5,0.0,1.0
0,Khoury Bethley,75719,S,HAWAII,1,2,16.0,50.0,84.0,21.0,10.5,0,0,0,0.0,180,58.3,56.1,80.0,70.1,48.2,50.1,0,15,0.0,0,0,0,75.0,1,21,25,0,1,2,0,15,3,0.7,15.0
0,Kai Kaneshiro,75720,S,HAWAII,1,0,5.0,0.0,100.0,,6.0,0,0,0,0.0,180,63.0,63.4,69.5,,60.0,,0,,,0,0,0,39.6,0,6,6,0,0,1,0,0,0,0.0,
0,Malik Welch,76584,CB,S JOSE ST,1,0,,,100.0,,,0,0,0,,285,62.1,55.8,68.2,,56.7,26.9,0,,,0,0,0,0.0,0,3,3,0,0,0,0,0,0,0.0,
0,Jalon Ferrell,76698,S,UCONN,1,0,-0.5,50.0,100.0,12.0,6.0,0,0,0,0.0,146,60.1,65.6,75.4,,71.5,80.2,0,7,0.0,0,0,0,58.3,1,12,12,0,2,2,0,7,7,0.6,7.0
0,Jordan Morrison,76703,LB,UCONN,1,0,,,81.8,,,0,0,0,,146,64.4,63.8,78.3,68.4,56.0,75.8,0,,,0,0,0,0.0,0,9,11,0,0,0,0,0,0,0.0,
0,Torey Richardson,76711,CB,UTEP,1,1,18.7,16.7,100.0,28.0,4.7,0,0,1,16.7,330,58.2,59.5,76.1,,65.2,79.6,0,16,0.0,0,1,1,39.6,1,33,33,1,1,6,0,16,11,0.6,16.0
0,Jeremy Lucien,76740,CB,UCONN,1,0,4.0,100.0,100.0,35.0,35.0,0,0,0,0.0,146,69.0,69.1,75.7,,63.3,74.2,1,4,0.0,0,0,0,43.8,1,36,36,1,1,1,0,4,0,0.1,4.0
0,Calvin Hart Jr.,77128,LB,ILLINOIS,1,0,,,88.9,,,0,0,0,,187,73.1,83.0,74.6,73.4,78.7,81.3,0,,,0,0,0,0.0,0,24,27,1,0,0,0,0,0,0.0,
0,Hunter Webb,77225,LB,UCONN,1,0,6.0,100.0,100.0,4.5,4.5,0,0,0,0.0,146,54.2,65.7,73.6,,76.2,78.9,0,10,0.0,0,0,0,97.9,2,9,9,0,1,2,0,15,3,1.7,7.5
0,Rian Fields,81226,CB,FRESNO ST,1,0,,,100.0,,,0,0,0,,169,64.0,64.6,72.3,,60.0,,0,,,0,0,0,0.0,0,8,8,0,0,0,0,0,0,0.0,
0,Khalan Tolson,81241,LB,ILLINOIS,1,0,,,100.0,,,0,0,0,,187,60.0,70.8,68.1,,62.5,73.0,0,,,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0.0,
0,Breon Hayward,81286,LB,UTEP,1,1,4.2,60.0,88.0,6.3,3.8,0,0,0,0.0,330,29.2,28.6,0.0,55.5,53.3,79.9,0,14,0.0,0,0,1,75.4,3,22,25,0,3,5,0,28,38,1.5,9.3
0,Matthew Tago,81356,LB,S JOSE ST,1,0,-4.0,100.0,44.4,4.0,4.0,0,0,0,0.0,285,62.7,66.1,76.0,56.7,66.9,72.2,0,6,,0,0,0,91.7,1,4,9,0,0,1,0,6,10,1.5,6.0
