week,player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
1,Jamale Carothers,77868,FB,NAVY,1,9,0,0,0.0,0,0,28,0,0,0,18,0.0,0,2,237,0,4,73.1,51.2,0.0,,57.9,60.0,58.3,51.0,6,1,0,0,1,21,0,0,0,9,0,28,18,2.0,3.1,0.0,0
1,Isaiah Johnson,121892,HB,N TEXAS,1,8,2,1,39.0,16,0,41,0,0,2,35,97.2,1,3,251,0,2,72.0,80.2,71.8,,74.7,63.5,77.9,60.0,16,0,6,1,3,9,0,0,1,9,1,41,35,4.38,5.1,2.0,6
1,Kevin Perkins,98626,HB,SO MISS,1,8,0,1,50.0,15,0,30,0,0,0,11,0.0,1,3,296,0,4,72.0,64.3,73.8,,75.2,58.2,64.8,60.0,15,0,4,1,14,10,0,0,1,9,0,30,11,1.38,3.8,0.29,4
1,Perry Olsen,101056,QB,NAVY,1,8,3,1,73.8,31,0,42,0,0,3,30,140.6,1,2,237,1,1,24.6,41.8,72.8,50.2,,,47.7,60.0,31,0,0,0,0,16,0,0,0,8,0,42,30,3.75,5.3,,0
1,Sheldon Evans,83699,HB,MARSHALL,1,8,4,0,0.0,0,0,32,0,0,4,20,125.0,0,4,214,0,0,72.7,69.4,71.9,,77.2,57.2,68.2,60.0,8,0,0,0,4,11,0,0,0,8,1,32,20,2.5,4.0,0.0,8
1,Terrion Avery,102877,HB,S ALABAMA,1,7,1,0,0.0,0,0,24,0,0,1,17,34.7,0,2,288,0,3,71.3,64.3,72.2,,50.5,57.8,64.8,60.0,7,0,0,0,3,9,0,0,0,7,1,24,17,2.43,3.4,0.0,4
1,Don Ragsdale,121470,HB,SO MISS,1,7,0,0,0.0,0,0,7,1,0,0,9,0.0,0,1,296,0,4,71.3,49.8,72.0,,48.2,29.9,56.5,60.0,2,0,0,0,8,8,0,0,1,7,1,7,9,1.29,1.0,0.0,3
1,Dalen Morris,60474,QB,NAVY,1,6,1,0,0.0,0,0,2,0,0,0,3,0.0,0,0,237,0,0,69.7,52.2,73.4,62.9,,60.0,50.2,60.0,4,0,0,0,1,18,3,1,0,5,0,5,5,0.83,0.8,0.0,2
1,Brady McBride,77641,QB,TEXAS ST,1,6,2,0,0.0,0,0,0,0,0,0,,100.0,0,0,314,0,0,69.8,55.1,77.4,54.8,,,57.6,60.0,7,0,0,0,0,28,30,6,0,0,0,30,15,2.5,5.0,,0
1,Evan Johnson,57345,HB,N TEXAS,1,6,0,0,0.0,0,0,17,0,0,0,17,0.0,0,0,251,0,5,70.5,66.2,68.8,,,58.6,65.4,,5,0,0,0,2,6,0,0,0,6,0,17,17,2.83,2.8,0.0,1
1,Lucious Stanley,57439,HB,UAB,1,5,3,0,0.0,0,0,21,0,0,3,7,70.0,0,2,321,0,0,69.9,73.7,72.3,,70.8,80.3,65.9,60.0,8,0,13,1,4,7,0,0,1,6,1,21,7,1.4,4.2,3.25,5
1,Isaiah Azubuike,97297,HB,ARK STATE,1,5,0,1,64.1,25,0,39,0,0,0,35,0.0,1,3,113,0,2,69.7,73.6,70.7,,35.6,57.3,74.0,,25,0,0,0,4,5,0,0,0,5,1,39,35,7.0,7.8,0.0,3
1,Oscar Adaway III,100835,HB,N TEXAS,1,5,4,3,90.7,107,0,118,0,0,4,63,1008.0,3,3,251,0,1,69.7,95.3,69.3,,72.8,59.5,93.2,60.0,47,0,0,0,1,6,0,0,0,5,2,118,63,12.6,23.6,0.0,4
1,Nelson Smith,57075,FB,NAVY,1,5,2,0,0.0,0,0,18,0,0,2,8,64.0,0,0,237,0,1,69.7,55.4,75.8,,51.1,60.0,56.7,59.0,7,0,0,0,1,12,0,0,0,5,0,18,8,1.6,3.6,0.0,0
1,Lincoln Pare,121537,HB,ARK STATE,1,5,0,0,0.0,0,0,33,0,0,0,13,0.0,1,1,113,0,2,70.5,70.3,72.8,,75.6,55.5,71.0,60.0,13,0,0,0,6,8,0,0,0,5,0,33,13,2.6,6.6,0.0,2
1,Chaton Mobley,57982,HB,MIDDLE TN,1,5,0,1,77.8,21,0,27,0,0,0,13,0.0,1,2,224,0,5,69.9,56.5,75.8,,70.8,53.3,62.0,59.9,21,0,3,1,17,13,0,0,2,6,0,27,13,2.6,5.4,0.18,0
1,Quardraiz Wadley,57460,HB,UTEP,1,5,0,0,0.0,0,0,9,1,0,0,8,0.0,0,1,330,0,2,69.7,47.2,70.8,,74.7,28.0,55.2,60.0,4,0,0,0,2,6,0,0,1,5,0,9,8,1.6,1.8,0.0,3
1,Artice Hobbs IV,57142,HB,ARMY,1,5,2,0,0.0,0,0,28,0,0,2,12,96.0,1,3,114,0,2,69.7,66.9,73.7,,,56.4,67.1,60.2,14,0,0,0,4,36,0,0,0,5,0,28,12,2.4,5.6,0.0,0
1,Jemel Jones,102863,QB,ARMY,1,5,0,0,0.0,0,0,33,0,0,0,15,0.0,1,2,114,0,0,69.7,70.1,71.8,50.8,,,70.5,60.0,14,0,0,0,0,16,0,0,0,5,0,33,15,3.0,6.6,,5
1,Anthony Adkins,102880,FB,ARMY,1,4,1,1,64.7,22,0,34,0,0,1,25,156.3,1,2,114,0,1,68.6,64.9,74.2,,67.9,,65.2,57.8,22,0,0,0,0,13,0,0,0,4,1,34,25,6.25,8.5,,0
1,Lawrence Papillon,98620,HB,MARSHALL,1,4,0,0,0.0,0,0,22,0,0,0,7,0.0,1,1,214,0,0,68.6,55.0,69.7,,,58.6,55.9,60.0,13,0,0,0,2,5,0,0,0,4,1,22,7,1.75,5.5,0.0,4
1,Austin Aune,83528,QB,N TEXAS,1,4,1,0,0.0,0,0,14,0,0,1,13,144.4,0,0,251,1,0,20.9,44.4,73.6,38.3,,,63.2,60.0,6,0,0,0,0,15,3,1,0,3,0,17,13,3.25,4.3,,1
1,Jack Abraham,40557,QB,SO MISS,1,4,1,0,0.0,0,0,7,0,0,1,5,500.0,1,1,296,1,0,29.1,65.6,77.2,65.5,,,58.8,60.0,35,0,0,0,0,30,38,3,0,1,0,45,5,1.25,11.3,,1
1,Logan Bonner,39990,QB,ARK STATE,1,4,0,0,0.0,0,0,1,0,0,0,6,0.0,0,0,113,1,0,29.1,62.1,15.6,70.0,,,44.4,60.0,3,1,0,0,0,23,3,1,0,3,0,4,6,1.5,1.0,,0
1,Grant Wells,97784,QB,MARSHALL,1,4,1,1,56.8,25,0,33,0,0,0,3,0.0,2,2,214,0,0,69.5,94.7,76.3,95.2,,,62.9,60.0,25,0,0,0,0,33,11,1,0,3,0,44,6,1.5,11.0,,3
1,Myles Fells,57326,HB,NAVY,1,3,1,1,60.0,33,0,55,0,0,1,13,108.3,2,2,237,0,0,67.8,61.9,0.0,,72.4,57.6,68.9,63.7,33,2,6,1,7,26,0,0,2,4,0,55,13,4.33,18.3,0.86,0
1,Jason Bean,83529,QB,N TEXAS,1,3,1,1,77.1,37,0,37,0,0,1,35,3.5e3,1,1,251,0,0,68.0,77.9,75.1,76.7,,,63.9,60.0,37,0,0,0,0,22,11,2,0,1,1,48,37,12.33,16.0,,1
1,Cade Barnard,83625,FB,ARMY,1,3,0,0,0.0,0,0,6,0,0,0,4,0.0,0,0,114,0,0,67.3,43.9,0.0,,72.5,,51.8,58.1,3,1,0,0,0,13,0,0,0,3,0,6,4,1.33,2.0,,0
1,Ryan Graham,98618,HB,ARK STATE,1,3,0,0,0.0,0,0,9,0,0,0,5,0.0,0,2,113,0,3,67.3,65.5,68.0,,,60.0,64.7,60.0,5,0,0,0,0,4,0,0,0,3,1,9,5,1.67,3.0,,0
1,Jayy McDonald,98686,HB,MIDDLE TN,1,3,2,0,0.0,0,0,13,0,0,2,11,183.3,0,1,224,1,1,20.0,55.3,74.1,,77.5,57.3,53.4,59.0,8,0,3,1,12,8,0,0,2,4,0,13,11,3.67,4.3,0.25,2
1,Gavin Hardison,100827,QB,UTEP,1,3,0,0,0.0,0,0,0,0,0,0,0,0.0,0,1,330,1,0,29.5,72.5,76.8,78.6,,,43.7,60.2,9,1,0,0,0,33,14,2,0,1,0,14,0,0.0,4.7,,0
1,Shane Buechele,12659,QB,SMU,1,3,2,0,0.0,0,0,5,0,0,2,7,155.6,0,0,287,0,0,70.5,74.1,28.4,75.6,,,60.7,60.0,7,1,0,0,0,44,0,0,0,3,0,5,7,2.33,1.7,,2
1,Frank Peasant,121817,HB,MIDDLE TN,1,2,1,0,0.0,0,0,12,0,0,1,7,116.7,1,1,224,0,0,67.8,62.8,74.1,,67.7,58.2,60.9,70.9,10,0,4,1,8,8,0,0,1,3,0,12,7,3.5,6.0,0.5,2
1,Caullin Lacy,121426,WR,S ALABAMA,1,2,0,0,0.0,0,0,11,0,0,0,2,0.0,0,0,288,0,2,66.7,54.1,68.8,,,,56.7,60.0,6,0,0,0,0,3,0,0,0,2,0,11,2,1.0,5.5,,0
1,Calvin Brownholtz,83584,QB,UTEP,1,2,0,0,0.0,0,0,3,0,0,0,2,0.0,0,0,330,1,2,62.5,33.3,65.5,,,,46.0,,2,0,0,0,0,2,0,0,0,2,0,3,2,1.0,1.5,,0
1,Luke Zban,82147,QB,MARSHALL,1,2,2,0,0.0,0,0,17,0,0,2,9,450.0,1,2,214,0,0,67.0,84.1,73.3,74.0,,,71.6,60.0,10,0,0,0,0,20,0,0,0,2,0,17,9,4.5,8.5,,2
1,DJ England-Chisolm,97068,WR,MIDDLE TN,1,2,1,0,,0,0,0,0,0,1,4,50.0,0,0,224,0,1,66.9,50.5,72.8,,,58.3,54.3,38.4,2,0,10,2,6,5,0,0,2,4,0,0,4,2.0,0.0,1.67,0
1,Chance Warren,77869,HB,NAVY,1,1,0,0,0.0,0,0,5,0,0,0,1,0.0,0,0,237,1,0,14.8,43.9,76.9,60.0,63.5,56.6,60.0,69.1,5,0,0,0,9,26,0,0,0,1,0,5,1,1.0,5.0,0.0,0
1,Tate Whatley,83556,QB,SO MISS,1,1,0,0,0.0,0,0,-1,0,0,0,1,0.0,0,0,296,0,0,62.5,58.9,63.6,,,,59.6,,-1,0,0,0,0,1,0,0,0,1,0,-1,1,1.0,-1.0,,1
1,Xavier Gaines,40094,TE,MARSHALL,1,1,0,0,0.0,0,0,9,1,0,0,6,0.0,0,0,214,0,1,66.0,81.7,77.3,,20.9,81.2,63.2,64.5,9,0,49,3,12,21,0,0,4,4,0,9,6,6.0,9.0,4.08,0
1,Naricuss Driver Jr.,98719,TE,SO MISS,1,1,0,0,0.0,0,0,1,0,0,0,1,0.0,0,1,296,0,0,63.7,56.9,74.2,56.9,69.5,52.6,62.4,56.5,1,0,0,0,5,18,0,0,0,1,1,1,1,1.0,1.0,0.0,0
1,Jaylen Gipson,60561,QB,TEXAS ST,1,1,0,0,,0,0,0,0,0,0,0,0.0,0,0,314,1,0,11.1,60.0,63.6,,,,60.0,,0,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,,0
1,Dee Baker,100838,HB,SO MISS,1,1,0,0,0.0,0,0,-2,0,0,0,0,0.0,0,0,296,0,1,65.7,60.0,68.6,,71.5,60.4,59.6,,-2,0,0,1,3,1,0,0,1,2,0,-2,0,0.0,-2.0,0.0,0
1,Myron Mitchell,100887,WR,UAB,1,1,0,0,0.0,0,0,9,0,2,0,0,0.0,0,0,321,0,0,72.3,67.0,77.3,,,62.6,63.4,76.3,9,0,47,4,34,40,0,0,5,5,0,9,0,0.0,9.0,1.38,0
1,JoJo Dorceus,56701,ED,MEMPHIS,1,1,0,1,100.0,25,0,25,0,0,0,14,0.0,1,1,218,0,0,64.8,64.5,60.0,,,,62.7,,25,0,0,0,0,1,0,0,0,1,0,25,14,14.0,25.0,,0
1,Willie Johnson,41116,WR,MARSHALL,1,1,0,0,0.0,0,0,-6,0,0,0,0,0.0,0,0,214,0,0,64.3,58.0,77.0,,,59.0,58.5,59.0,-6,0,9,1,18,23,0,0,4,2,0,-6,0,0.0,-6.0,0.5,0
1,Mark Walker,101120,WR,NAVY,1,1,0,0,0.0,0,0,2,0,0,0,1,0.0,0,0,237,0,0,67.7,63.1,77.6,,,63.4,57.7,68.6,2,0,20,2,13,21,0,0,3,3,0,2,1,1.0,2.0,1.54,0
