week,player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
0,Kyron Hudson,146411,WR,USC,1,18.3,0,33.3,0.0,0,1,0,50.0,1,0,326,0,24.5,61.0,53.3,,53.9,0.0,0,0,8,0.0,0,13,0,1,100.0,13,7.7,1,42.4,3,0,92.3,12,8,4,4.0,8.0,0.62
0,Lake McRee,146418,TE,USC,1,5.7,1,100.0,,0,0,0,0.0,0,1,326,0,73.1,64.1,67.8,71.2,81.3,66.7,8,0,22,33.3,4,12,0,3,58.3,7,25.0,3,116.7,3,0,0.0,0,36,19,6.3,12.0,5.14
0,Deion Colzie,147473,WR,NOTRE DAME,1,6.7,1,100.0,100.0,1,1,0,0.0,0,3,258,0,73.1,64.1,93.5,,91.0,0.0,0,0,25,0.0,0,4,0,3,100.0,4,0.0,0,158.3,3,1,100.0,4,45,25,8.3,15.0,11.25
0,Kairee Robinson,101299,HB,S JOSE ST,1,-6.3,0,100.0,,0,0,0,0.0,0,0,285,0,73.1,73.2,65.9,18.0,61.2,0.0,0,0,9,32.0,8,25,0,3,60.0,15,4.0,1,86.1,3,0,4.0,1,14,33,11.0,4.7,0.93
0,Marcus Bellon,104082,WR,UTEP,1,4.3,0,66.7,0.0,0,1,0,0.0,0,1,330,0,70.7,66.2,58.9,,58.8,0.0,0,0,7,0.0,0,5,0,2,80.0,4,100.0,5,70.1,3,0,0.0,0,8,4,2.0,4.0,2.0
0,Ron Wiggins,125380,HB,JVILLE ST,1,9.3,0,66.7,100.0,1,1,0,0.0,0,2,196,0,70.7,74.5,71.1,72.2,70.3,0.0,0,0,17,14.3,2,14,0,2,85.7,12,14.3,2,91.0,3,0,28.6,4,24,7,3.5,12.0,2.0
0,Gino Campiotti,78504,TE,UMASS,1,7.5,1,50.0,0.0,0,1,0,0.0,0,1,216,0,66.7,61.0,68.3,64.4,64.5,80.0,12,0,16,6.7,1,15,0,1,93.3,14,6.7,1,77.1,2,0,6.7,1,16,6,6.0,16.0,1.14
0,Jeremiah Ballard,145495,WR,UTEP,1,16.0,1,50.0,,0,0,0,0.0,0,1,330,0,66.7,61.0,55.7,,55.5,0.0,0,0,7,0.0,0,17,0,1,88.2,15,17.6,3,58.3,2,0,82.4,14,7,2,2.0,7.0,0.47
0,Tyler Foster,98497,TE,OHIO,1,2.0,2,100.0,,0,0,0,0.0,0,1,259,0,70.7,62.9,60.9,75.9,59.3,12.0,3,0,12,28.0,7,25,0,2,68.0,17,64.0,16,106.3,2,0,4.0,1,19,15,7.5,9.5,1.12
0,Kris Mitchell,97659,WR,FIU,1,6.0,0,50.0,100.0,1,1,0,0.0,0,0,166,0,66.7,61.0,55.2,,54.5,0.0,0,0,2,0.0,0,17,0,1,88.2,15,0.0,0,56.3,2,0,100.0,17,2,0,0.0,2.0,0.13
0,Kyle Maxwell,98110,WR,LA TECH,1,1.0,0,100.0,,0,0,0,0.0,0,1,208,0,70.7,62.9,61.9,,59.4,0.0,0,0,14,0.0,0,20,0,2,100.0,20,5.0,1,100.0,2,0,95.0,19,16,14,7.0,8.0,0.8
0,Sean Brown,99181,TE,JVILLE ST,1,20.5,0,0.0,,0,0,0,,0,0,196,0,,,40.6,,49.8,54.5,6,0,0,0.0,0,11,0,0,90.9,10,45.5,5,39.6,2,0,0.0,0,0,0,,,0.0
0,Jordin Parker,155992,WR,NEW MEX ST,1,37.5,0,50.0,,0,0,0,0.0,0,1,242,0,66.7,61.0,76.8,,74.0,0.0,0,0,40,0.0,0,7,0,1,85.7,6,0.0,0,135.4,2,1,100.0,7,40,0,0.0,40.0,6.67
0,Chuuky Hines,158174,WR,HAWAII,1,11.5,0,50.0,,0,0,0,0.0,0,1,180,0,66.7,61.0,57.2,,57.0,0.0,0,1,10,0.0,0,24,0,1,91.7,22,0.0,0,25.0,2,0,100.0,24,10,2,2.0,10.0,0.45
0,Jamoni Jones,156922,HB,NEW MEX ST,1,2.5,0,100.0,,0,0,0,0.0,0,2,242,0,70.7,70.1,67.8,70.0,82.5,0.0,0,0,17,12.5,1,8,0,2,87.5,7,0.0,0,118.8,2,0,0.0,0,29,24,12.0,14.5,4.14
0,Star Thomas,156926,HB,NEW MEX ST,1,-2.0,2,100.0,,0,0,0,0.0,0,1,242,0,70.7,71.5,76.1,77.4,69.9,0.0,0,0,18,25.0,4,16,0,2,75.0,12,0.0,0,108.3,2,0,0.0,0,20,24,12.0,10.0,1.67
0,Cam Davis,146165,HB,S DIEGO ST,1,-2.5,1,100.0,,0,0,0,0.0,0,0,284,0,70.7,65.3,63.9,,75.2,0.0,0,0,11,0.0,0,6,0,2,83.3,5,0.0,0,87.5,2,0,0.0,0,10,15,7.5,5.0,2.0
0,Jamarye Joiner,82071,WR,JVILLE ST,1,0.5,0,50.0,,0,0,0,50.0,1,0,196,0,24.5,61.0,44.7,,47.5,0.0,0,0,-2,0.0,0,3,0,1,100.0,3,0.0,0,56.3,2,0,100.0,3,-2,0,0.0,-2.0,-0.67
0,MarShawn Lloyd,124247,HB,USC,1,-1.5,0,50.0,,0,0,0,0.0,0,1,326,0,66.7,72.6,75.4,76.2,63.6,0.0,0,0,12,15.4,2,13,0,1,84.6,11,0.0,0,68.8,2,0,15.4,2,12,20,20.0,12.0,1.09
0,Jay Rudolph,128313,TE,S DIEGO ST,1,3.0,0,100.0,,0,0,0,0.0,0,0,284,0,70.7,62.9,60.1,24.0,60.2,75.0,6,0,4,12.5,1,8,0,2,87.5,7,12.5,1,79.2,2,0,0.0,0,6,0,0.0,3.0,0.86
0,Gi'Bran Payne,156963,HB,NOTRE DAME,1,-2.5,0,100.0,,0,0,0,0.0,0,0,258,0,70.7,71.5,72.9,67.8,63.1,0.0,0,0,0,9.1,1,11,0,2,81.8,9,0.0,0,79.2,2,0,0.0,0,-5,0,0.0,-2.5,-0.56
0,Jabari Bates,157835,HB,S JOSE ST,1,-2.5,0,50.0,,0,0,0,0.0,0,0,285,0,66.7,64.3,66.4,,62.0,0.0,0,0,-6,0.0,0,3,0,1,100.0,3,33.3,1,56.3,2,0,0.0,0,-6,1,1.0,-6.0,-2.0
0,Brandon Chatman,162541,HB,NAVY,1,13.5,1,100.0,,0,0,0,0.0,0,1,237,0,70.7,72.1,70.2,65.5,81.8,33.3,2,0,39,16.7,1,6,0,2,83.3,5,50.0,3,118.8,2,0,0.0,0,41,14,7.0,20.5,8.2
