week,player,player_id,position,team_name,player_game_count,declined_penalties,franchise_id,gap_grades_run_block,gap_run_block_percent,gap_snap_counts_run_block,gap_snap_counts_run_block_percent,gap_snap_counts_run_play,grades_run_block,penalties,run_block_percent,snap_counts_run_block,snap_counts_run_play,zone_grades_run_block,zone_run_block_percent,zone_snap_counts_run_block,zone_snap_counts_run_block_percent,zone_snap_counts_run_play
0,Charles Ross,97855,WR,S JOSE ST,1,0,285,60.1,100.0,3,16.7,3,61.8,0,100.0,18,18,61.7,100.0,15,83.3,15
0,Cameron Hairston,55122,WR,UCONN,1,0,146,58.3,100.0,8,44.4,8,59.6,0,100.0,18,18,61.4,100.0,7,38.9,7
0,Juan Rodriguez,45596,TE,FRESNO ST,1,0,169,76.1,100.0,10,55.6,10,74.2,0,100.0,18,18,59.7,100.0,7,38.9,7
0,Nick Abbs,81651,G,FRESNO ST,1,0,169,56.5,100.0,4,22.2,4,58.4,0,100.0,18,18,60.2,100.0,10,55.6,10
0,Dontae Bull,81650,T,FRESNO ST,1,0,169,56.7,100.0,7,38.9,7,50.6,1,100.0,18,18,49.9,100.0,10,55.6,10
0,Nick Starkel,40326,QB,S JOSE ST,1,0,285,60.0,100.0,3,16.7,3,60.0,0,90.0,18,20,60.0,88.2,15,83.3,17
0,Zuri Henry,81907,T,UTEP,1,0,330,73.0,100.0,7,38.9,7,81.6,1,100.0,18,18,78.0,100.0,10,55.6,10
0,Wyatt Liewer,84324,WR,NEBRASKA,1,0,238,59.0,100.0,2,11.1,2,59.6,0,100.0,18,18,61.2,100.0,15,83.3,15
0,Zach Fryar,122015,TE,UTEP,1,0,330,53.3,100.0,8,47.1,8,52.1,0,100.0,17,17,55.0,100.0,7,41.2,7
0,Matt Smith,41124,C,FRESNO ST,1,0,169,60.7,100.0,6,35.3,6,55.1,0,100.0,17,17,53.5,100.0,10,58.8,10
0,Chase Cota,84465,WR,UCLA,1,0,324,59.3,100.0,5,29.4,5,60.4,0,100.0,17,17,60.3,100.0,10,58.8,10
0,Samori Toure,25276,WR,NEBRASKA,1,0,238,59.9,100.0,2,11.8,2,58.3,0,89.5,17,19,58.9,93.3,14,82.4,15
0,Derrick Deese Jr.,84043,TE,S JOSE ST,1,0,285,71.9,100.0,3,17.6,3,72.2,0,100.0,17,17,55.6,100.0,14,82.4,14
0,Justin Mayers,100808,G,UTEP,1,0,330,50.6,100.0,5,31.3,5,60.1,0,100.0,16,16,67.9,100.0,9,56.3,9
0,Heron Maurisseau,78069,WR,UCONN,1,0,146,61.5,100.0,8,50.0,8,62.0,0,100.0,16,16,60.8,100.0,5,31.3,5
0,Khmari Thompson,84313,WR,ILLINOIS,1,0,187,60.0,100.0,4,25.0,4,60.1,0,100.0,16,16,60.9,100.0,10,62.5,10
0,Kyle Philips,84463,WR,UCLA,1,0,324,58.7,100.0,6,37.5,6,60.3,0,100.0,16,16,61.9,100.0,10,62.5,10
0,Cam Ross,97105,WR,UCONN,1,0,146,60.2,100.0,7,43.8,7,60.8,0,100.0,16,16,61.1,100.0,7,43.8,7
0,Matt Sykes,131812,WR,UCLA,1,0,324,59.6,100.0,5,31.3,5,62.1,0,100.0,16,16,61.9,100.0,9,56.3,9
0,Ethan Garbers,131896,QB,UCLA,1,0,324,60.0,100.0,1,6.3,1,60.0,0,88.9,16,18,60.0,100.0,15,93.8,15
0,Caleb Phillips,52265,TE,HAWAII,1,0,180,42.0,100.0,4,26.7,4,49.0,0,100.0,15,15,42.4,100.0,9,60.0,9
0,Duke Clemens,100545,C,UCLA,1,0,324,59.7,100.0,3,20.0,3,61.0,0,100.0,15,15,61.4,100.0,12,80.0,12
0,Kam Brown,99206,WR,UCLA,1,0,324,60.3,100.0,4,28.6,4,62.4,0,100.0,14,14,62.1,100.0,10,71.4,10
0,Ilm Manning,75852,T,HAWAII,1,0,180,42.6,100.0,4,28.6,4,47.3,0,100.0,14,14,58.7,100.0,9,64.3,9
0,Jared Smart,98732,WR,HAWAII,1,0,180,54.1,100.0,4,28.6,4,38.4,0,100.0,14,14,56.7,100.0,9,64.3,9
0,Ty Jones,61806,WR,FRESNO ST,1,0,169,60.0,100.0,4,28.6,4,62.8,0,100.0,14,14,62.1,100.0,10,71.4,10
0,Elijah Carson,98526,G,FRESNO ST,1,0,169,56.5,100.0,4,28.6,4,46.3,0,100.0,14,14,45.8,100.0,7,50.0,7
0,Gene Pryor,75851,T,HAWAII,1,0,180,44.6,100.0,4,28.6,4,46.0,0,100.0,14,14,54.4,100.0,9,64.3,9
0,Kohl Levao,75850,C,HAWAII,1,0,180,66.4,100.0,4,28.6,4,62.8,0,100.0,14,14,53.5,100.0,9,64.3,9
0,Kyle Hoppe,40461,C,S JOSE ST,1,0,285,60.1,100.0,2,14.3,2,65.8,0,100.0,14,14,65.8,100.0,12,85.7,12
0,Solo Vaipulu,75849,G,HAWAII,1,0,180,50.6,100.0,4,28.6,4,50.9,0,100.0,14,14,56.9,100.0,9,64.3,9
0,Forest McKee,57094,FB,UTEP,1,0,330,68.8,100.0,3,23.1,3,88.2,0,100.0,13,13,88.1,100.0,8,61.5,8
0,Erik Brooks,84187,WR,FRESNO ST,1,0,169,60.0,100.0,4,30.8,4,63.0,0,100.0,13,13,60.8,100.0,5,38.5,5
0,Alex Akingbulu,40634,T,FRESNO ST,1,0,169,60.2,100.0,5,38.5,5,50.5,0,100.0,13,13,48.5,100.0,8,61.5,8
0,Michael Ezeike,84464,TE,UCLA,1,0,324,59.9,100.0,1,7.7,1,70.9,0,100.0,13,13,71.7,100.0,12,92.3,12
0,Micah Vanterpool,52075,G,HAWAII,1,0,180,58.8,100.0,3,23.1,3,54.1,0,100.0,13,13,54.0,100.0,9,69.2,9
0,Steven Hubbard,122021,G,UTEP,1,0,330,56.8,100.0,6,46.2,6,61.4,0,100.0,13,13,64.8,100.0,7,53.8,7
0,James Tupou,81448,FB,UTEP,1,0,330,43.7,100.0,3,23.1,3,68.1,0,92.9,13,14,81.5,100.0,9,69.2,9
0,Rory Hanson,128178,TE,FRESNO ST,1,0,169,59.4,100.0,1,7.7,1,69.6,0,100.0,13,13,71.4,100.0,8,61.5,8
0,Keric Wheatfall,98730,WR,FRESNO ST,1,0,169,60.2,100.0,6,46.2,6,61.8,0,100.0,13,13,60.7,100.0,6,46.2,6
0,Jayce Medlock,97820,TE,UCONN,1,0,146,53.1,100.0,8,61.5,8,40.1,0,100.0,13,13,59.7,100.0,3,23.1,3
0,Keontez Lewis,146387,WR,UCLA,1,0,324,60.0,100.0,1,8.3,1,61.9,0,100.0,12,12,61.7,100.0,11,91.7,11
0,Calvin Turner Jr.,109028,WR,HAWAII,1,0,180,59.9,100.0,3,25.0,3,43.5,0,100.0,12,12,61.4,100.0,8,66.7,8
0,Tyler Ostrom,81818,G,S JOSE ST,1,0,285,59.9,100.0,4,33.3,4,62.6,1,100.0,12,12,63.2,100.0,8,66.7,8
0,Logan Loya,131801,WR,UCLA,1,0,324,74.6,100.0,2,16.7,2,79.6,0,100.0,12,12,61.5,100.0,10,83.3,10
0,Josh Kelly,97061,WR,FRESNO ST,1,0,169,59.7,100.0,5,41.7,5,78.1,0,100.0,12,12,60.6,100.0,6,50.0,6
0,Garrett DiGiorgio,146395,T,UCLA,1,0,324,59.8,100.0,1,8.3,1,55.7,1,100.0,12,12,55.7,100.0,9,75.0,9
0,Isaiah Hamilton,84401,WR,S JOSE ST,1,0,285,60.0,100.0,1,8.3,1,61.4,0,100.0,12,12,61.3,100.0,11,91.7,11
0,Jake Haener,60596,QB,FRESNO ST,1,0,169,60.0,100.0,4,33.3,4,60.0,0,100.0,12,12,60.0,100.0,8,66.7,8
0,Kazmeir Allen,83782,WR,UCLA,1,0,324,60.3,100.0,4,36.4,4,79.1,0,100.0,11,11,80.1,100.0,7,63.6,7
0,Chevan Cordeiro,75886,QB,HAWAII,1,0,180,60.0,75.0,3,27.3,4,60.0,0,78.6,11,14,60.0,77.8,7,63.6,9
0,Jermaine Braddock,84400,WR,S JOSE ST,1,0,285,59.9,100.0,2,20.0,2,61.5,0,100.0,10,10,61.6,100.0,8,80.0,8
