Week,player,player_id,position,team_name,player_game_count,batted_passes,declined_penalties,franchise_id,grades_pass_rush_defense,hits,hurries,pass_rush_opp,pass_rush_percent,pass_rush_win_rate,pass_rush_wins,penalties,prp,sacks,snap_counts_pass_play,snap_counts_pass_rush,total_pressures,true_pass_set_batted_passes,true_pass_set_grades_pass_rush_defense,true_pass_set_hits,true_pass_set_hurries,true_pass_set_pass_rush_opp,true_pass_set_pass_rush_percent,true_pass_set_pass_rush_win_rate,true_pass_set_pass_rush_wins,true_pass_set_prp,true_pass_set_sacks,true_pass_set_snap_counts_pass_play,true_pass_set_snap_counts_pass_rush,true_pass_set_total_pressures
1,Bruce Irvin,7021,ED,OAK,1,0,0,23,69.4,0,0,18,90.5,5.6,1,0,5.6,1,21,19,1,0,73.4,0,0,11,92.3,9.1,1,9.1,1,13,12,1
1,Melvin Ingram III,7024,ED,LAC,1,0,0,27,74.8,3,0,27,90.3,11.1,3,2,5.6,0,31,28,3,0,58.6,0,0,8,90.0,0.0,0,0.0,0,10,9,0
1,Chandler Jones,7027,ED,ARZ,1,0,0,1,52.1,0,3,29,86.1,3.4,1,1,5.2,0,36,31,3,0,56.4,0,2,10,92.3,10.0,1,10.0,0,13,12,2
1,Dont'a Hightower,7030,LB,NE,1,0,0,19,67.0,0,1,4,16.0,25.0,1,0,12.5,0,25,4,1,0,,0,0,0,0.0,,0,,0,9,0,0
1,Whitney Mercilus,7031,ED,HST,1,0,0,13,49.0,0,0,19,55.6,0.0,0,0,0.0,0,36,20,0,0,50.3,0,0,5,54.5,0.0,0,0.0,0,11,6,0
1,Nick Perry,7033,ED,GB,1,0,0,12,60.8,1,1,25,96.3,4.0,1,1,8.0,1,27,26,3,0,71.3,1,1,6,100.0,0.0,0,33.3,1,6,6,3
1,Derek Wolfe,7040,DI,DEN,1,0,0,10,53.1,0,1,32,100.0,3.1,1,0,1.6,0,34,34,1,0,55.2,0,1,18,100.0,5.6,1,2.8,0,19,19,1
1,Andre Branch,7042,ED,MIA,1,0,0,17,49.9,0,1,18,94.7,0.0,0,0,2.8,0,19,18,1,0,52.8,0,0,5,100.0,0.0,0,0.0,0,5,5,0
1,Bobby Wagner,7050,LB,SEA,1,0,0,29,53.7,0,0,3,7.1,0.0,0,0,0.0,0,42,3,0,0,59.3,0,0,1,8.3,0.0,0,0.0,0,12,1,0
1,Jerel Worthy,7054,DI,TB,1,0,0,30,60.5,0,1,12,100.0,8.3,1,0,4.2,0,13,13,1,0,54.2,0,0,6,100.0,0.0,0,0.0,0,7,7,0
1,Zach Brown,7055,LB,WAS,1,0,0,32,60.0,0,0,1,4.2,0.0,0,0,0.0,0,24,1,0,0,,0,0,0,0.0,,0,,0,10,0,0
1,Lavonte David,7060,LB,TB,1,0,0,30,68.2,0,1,7,16.3,14.3,1,0,7.1,0,49,8,1,0,58.3,0,0,1,3.6,0.0,0,0.0,0,28,1,0
1,Vinny Curry,7061,ED,TB,1,0,0,30,60.9,2,0,33,97.2,9.1,3,0,6.1,1,36,35,3,0,63.6,2,0,18,100.0,11.1,2,11.1,1,19,19,3
1,Demario Davis,7079,LB,NO,1,0,0,20,52.0,0,0,10,26.3,0.0,0,0,0.0,0,38,10,0,0,59.1,0,0,1,8.3,0.0,0,0.0,0,12,1,0
1,Tyrone Crawford,7083,DI,DAL,1,0,0,9,55.1,0,3,23,100.0,13.0,3,0,6.5,0,27,27,3,0,53.8,0,3,9,100.0,22.2,2,16.7,0,12,12,3
1,Akiem Hicks,7090,DI,CHI,1,0,0,6,72.3,0,1,29,100.0,10.3,3,0,5.2,1,30,30,2,0,79.7,0,1,18,100.0,16.7,3,8.3,1,19,19,2
1,Mike Daniels,7132,DI,GB,1,0,0,12,65.1,0,2,17,94.4,11.8,2,0,11.8,1,18,17,3,0,64.4,0,1,6,100.0,16.7,1,8.3,0,6,6,1
1,Tahir Whitehead,7135,LB,OAK,1,1,0,23,74.5,0,0,2,5.6,0.0,0,0,0.0,0,36,2,0,1,68.2,0,0,1,7.1,0.0,0,0.0,0,14,1,0
1,Najee Goode,7137,LB,IND,1,0,0,14,58.7,0,0,1,25.0,0.0,0,0,0.0,0,4,1,0,0,58.7,0,0,1,50.0,0.0,0,0.0,0,2,1,0
1,Jack Crawford,7151,DI,ATL,1,0,0,2,54.0,0,0,19,100.0,5.3,1,0,0.0,0,23,23,0,0,49.8,0,0,11,100.0,0.0,0,0.0,0,13,13,0
1,Danny Trevathan,7177,LB,CHI,1,0,0,6,57.6,0,1,8,20.0,12.5,1,0,6.3,0,40,8,1,0,60.0,0,1,5,21.7,20.0,1,10.0,0,23,5,1
1,Rodney McLeod,7271,S,PHI,1,0,0,24,55.9,0,1,2,3.8,0.0,0,0,25.0,0,52,2,1,0,,0,0,0,0.0,,0,,0,19,0,0
1,Michael Thomas,7279,S,NYG,1,0,0,21,66.0,0,1,1,12.5,100.0,1,0,50.0,0,8,1,1,0,66.0,0,1,1,20.0,100.0,1,50.0,0,5,1,1
1,Damon Harrison Sr.,7355,DI,NYG,1,0,0,21,52.9,0,0,22,100.0,0.0,0,0,0.0,0,23,23,0,0,54.9,0,0,5,100.0,0.0,0,0.0,0,6,6,0
1,Derrick Shelby,7400,ED,ATL,1,0,0,2,68.1,0,1,14,100.0,21.4,3,0,3.6,0,15,15,1,0,67.7,0,1,7,100.0,28.6,2,7.1,0,8,8,1
1,Jacquies Smith,7401,ED,ARZ,1,0,0,1,57.4,0,0,3,75.0,0.0,0,0,0.0,0,4,3,0,0,58.5,0,0,1,100.0,0.0,0,0.0,0,1,1,0
1,Harrison Smith,7641,S,MIN,1,0,0,18,69.6,0,0,2,4.8,0.0,0,0,50.0,1,42,2,1,0,72.7,0,0,1,4.8,0.0,0,100.0,1,21,1,1
1,Malik Jackson,7647,DI,JAX,1,0,0,15,64.9,2,3,32,100.0,12.5,4,0,7.8,0,37,37,5,0,55.0,0,1,16,100.0,6.3,1,3.1,0,18,18,1
1,Brandon Marshall,7648,LB,DEN,1,0,0,10,74.1,0,0,2,5.6,50.0,1,0,0.0,0,36,2,0,0,70.1,0,0,1,5.0,100.0,1,0.0,0,20,1,0
1,Dion Jordan,7785,ED,SEA,1,1,0,29,68.1,1,1,12,92.9,16.7,2,1,8.3,0,14,13,2,0,65.8,1,1,6,87.5,33.3,2,16.7,0,8,7,2
1,Barkevious Mingo,7787,ED,SEA,1,0,0,29,60.0,0,0,1,6.7,0.0,0,0,0.0,0,15,1,0,0,,0,0,0,0.0,,0,,0,1,0,0
1,D.J. Hayden,7793,CB,JAX,1,0,0,15,55.1,0,0,2,6.7,0.0,0,0,0.0,0,30,2,0,0,59.5,0,0,1,6.7,0.0,0,0.0,0,15,1,0
1,Sheldon Richardson,7794,DI,MIN,1,0,0,18,86.3,2,5,27,100.0,25.9,7,1,13.0,0,30,30,7,0,88.9,1,4,14,100.0,35.7,5,17.9,0,17,17,5
1,Star Lotulelei,7795,DI,BUF,1,0,0,4,50.6,0,0,20,100.0,0.0,0,0,0.0,0,23,23,0,0,53.3,0,0,7,100.0,0.0,0,0.0,0,8,8,0
1,Sylvester Williams,7809,DI,DET,1,0,0,11,53.3,0,0,16,100.0,0.0,0,0,0.0,0,17,17,0,0,57.1,0,0,3,100.0,0.0,0,0.0,0,3,3,0
1,Alec Ogletree,7811,LB,NYG,1,0,0,21,51.6,0,0,7,18.9,0.0,0,0,0.0,0,37,7,0,0,52.9,0,0,4,28.6,0.0,0,0.0,0,14,4,0
1,Manti Te'o,7819,LB,NO,1,0,0,20,59.4,0,0,1,9.1,0.0,0,0,0.0,0,11,1,0,0,59.4,0,0,1,33.3,0.0,0,0.0,0,3,1,0
1,Kawann Short,7825,DI,CAR,1,0,0,5,69.5,2,1,21,92.0,14.3,3,0,16.7,2,25,23,5,0,73.2,2,1,16,100.0,18.8,3,21.9,2,16,16,5
1,Kiko Alonso,7827,LB,MIA,1,0,0,17,58.3,0,0,2,4.9,0.0,0,0,0.0,0,41,2,0,0,,0,0,0,0.0,,0,,0,18,0,0
1,Jon Bostic,7831,LB,PIT,1,0,0,25,65.8,0,1,5,19.4,20.0,1,0,30.0,1,31,6,2,0,72.9,0,0,2,13.3,0.0,0,50.0,1,15,2,1
1,Jamie Collins Sr.,7833,LB,CLV,1,0,0,8,56.6,0,0,4,17.4,0.0,0,0,0.0,0,23,4,0,0,,0,0,0,0.0,,0,,0,3,0,0
1,Margus Hunt,7834,DI,IND,1,0,0,14,80.0,0,1,22,100.0,18.2,4,0,11.4,2,23,23,3,0,87.0,0,0,5,100.0,40.0,2,20.0,1,6,6,1
1,D.J. Swearinger Sr.,7838,S,WAS,1,0,0,32,60.0,0,0,0,2.5,,0,0,,0,40,1,0,0,,0,0,0,0.0,,0,,0,21,0,0
1,Bennie Logan,7848,DI,TEN,1,0,0,31,56.6,0,0,7,100.0,0.0,0,0,0.0,0,7,7,0,0,60.0,0,0,1,100.0,0.0,0,0.0,0,1,1,0
1,Tyrann Mathieu,7850,S,HST,1,0,0,13,58.1,0,0,1,2.3,0.0,0,0,0.0,0,43,1,0,0,58.1,0,0,1,7.1,0.0,0,0.0,0,14,1,0
1,T.J. McDonald,7852,S,MIA,1,0,0,17,58.0,0,0,2,4.9,0.0,0,0,0.0,0,41,2,0,0,,0,0,0,0.0,,0,,0,18,0,0
1,J.J. Wilcox,7861,S,NYJ,1,0,0,22,60.0,0,0,1,20.0,0.0,0,0,0.0,0,5,1,0,0,,0,0,0,0.0,,0,,0,1,0,0
1,John Jenkins,7863,DI,NYG,1,0,0,21,57.0,0,0,4,100.0,0.0,0,0,0.0,0,4,4,0,0,60.0,0,0,1,100.0,0.0,0,0.0,0,1,1,0
1,Logan Ryan,7864,CB,TEN,1,0,0,31,57.9,0,0,2,6.1,0.0,0,1,0.0,0,33,2,0,0,,0,0,0,0.0,,0,,0,4,0,0
1,Brandon Williams,7875,DI,BLT,1,0,0,3,58.4,0,1,14,100.0,0.0,0,1,3.6,0,14,14,1,0,61.5,0,1,8,100.0,0.0,0,6.3,0,8,8,1
1,Akeem Spence,7882,DI,MIA,1,0,0,17,49.8,0,0,18,100.0,0.0,0,0,0.0,0,20,20,0,0,51.6,0,0,7,100.0,0.0,0,0.0,0,8,8,0
1,Alex Okafor,7885,ED,NO,1,0,0,20,63.5,0,2,18,90.9,16.7,3,0,5.6,0,22,20,2,0,58.6,0,1,6,100.0,16.7,1,8.3,0,8,8,1
