Week,player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
1,Antwaan Randle El,1069,WR,WAS,1,6.3,1,100.0,,0,0,0,0.0,0,3,32,0,75.6,69.5,62.5,,68.0,0.0,0,0,26,0.0,0,31,2,7,90.3,28,64.5,20,110.1,7,0,35.5,11,73,29,4.1,10.4,2.61
1,Tony Gonzalez,237,TE,KC,1,6.1,0,85.7,,0,0,0,0.0,0,4,16,0,74.6,68.8,81.4,72.1,74.1,42.9,15,0,20,8.6,3,35,0,6,91.4,32,54.3,19,99.4,7,0,2.9,1,55,16,2.7,9.2,1.72
1,Kellen Winslow,1727,TE,CLV,1,10.0,0,83.3,,0,0,0,0.0,0,3,8,0,73.4,68.0,67.1,,69.1,17.2,5,0,17,0.0,0,29,0,5,93.1,27,55.2,16,138.9,6,1,27.6,8,47,5,1.0,9.4,1.74
1,Antonio Gates,1609,TE,SD,1,9.3,1,66.7,,0,0,0,0.0,0,3,27,1,72.1,18.7,73.1,,71.7,45.0,9,0,24,0.0,0,20,0,4,100.0,20,50.0,10,139.6,6,1,0.0,0,61,15,3.8,15.3,3.05
1,Justin Gage,1452,WR,TEN,1,13.7,1,33.3,,0,0,0,33.3,1,1,31,0,30.0,64.0,58.7,,56.6,0.0,0,1,21,0.0,0,29,0,2,89.7,26,6.9,2,7.6,6,0,93.1,27,25,14,7.0,12.5,0.96
1,Hines Ward,380,WR,PIT,1,8.5,0,100.0,,0,0,0,0.0,0,4,25,0,75.6,69.5,89.3,,87.1,0.0,0,0,29,0.0,0,17,0,6,94.1,16,100.0,17,158.3,6,2,0.0,0,76,29,4.8,12.7,4.75
1,Marques Colston,3197,WR,NO,1,5.5,0,50.0,,0,0,0,25.0,1,1,20,0,36.8,65.8,56.1,,53.8,0.0,0,0,16,0.0,0,31,0,3,100.0,31,54.8,17,61.8,6,0,45.2,14,26,9,3.0,8.7,0.84
1,Greg Camarillo,2523,WR,MIA,1,10.5,0,50.0,,0,0,0,0.0,0,2,17,0,70.5,65.8,60.0,,58.0,0.0,0,0,17,0.0,0,37,0,3,94.6,35,59.5,22,69.4,6,0,40.5,15,37,8,2.7,12.3,1.06
1,Zach Miller,3654,TE,OAK,1,8.0,0,66.7,,0,0,0,0.0,0,1,23,0,72.1,67.0,62.0,47.8,49.7,86.7,26,0,21,23.3,7,30,1,4,76.7,23,13.3,4,81.3,6,0,0.0,0,34,7,1.8,8.5,1.48
1,Roscoe Parrish,2272,WR,BUF,1,4.5,0,50.0,,0,0,0,0.0,0,0,4,0,70.5,65.8,57.0,,54.5,0.0,0,0,3,0.0,0,21,0,3,100.0,21,33.3,7,56.3,6,0,66.7,14,6,4,1.3,2.0,0.29
