Week,player,player_id,position,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
1,Christian Veilleux,145086,QB,GA STATE,1,64.7,34,35,8.1,2.12,1,1,2.6,57.1,20,0,5,9.1,38,2,11,175,69.6,51.9,48.8,64.7,0,0,42,0,0.0,84.1,0.0,0,3,0,0,1,0,0.0,209,6.0
1,Ashton Daniels,157259,QB,STANFORD,1,55.9,34,35,14.1,3.24,0,3,8.3,48.6,17,0,20,10.5,44,2,9,300,43.9,70.6,70.9,61.8,0,1,46,0,20.0,59.6,9.1,4,5,0,1,1,1,2.2,163,4.7
1,Emmett Brown,157344,QB,S JOSE ST,1,66.7,33,35,15.2,2.43,0,1,2.7,57.1,20,0,9,9.1,37,2,16,285,19.2,66.1,65.9,60.0,0,1,39,1,22.2,101.8,5.4,2,0,0,2,3,3,7.7,298,8.5
1,Cam Ward,133244,QB,MIAMI FL,1,87.9,33,35,9.1,3.12,0,5,13.5,74.3,26,0,14,10.3,38,3,18,220,69.0,91.2,90.7,71.0,0,1,40,0,7.1,126.5,2.6,1,2,0,2,3,1,2.5,385,11.0
1,Nicholas Vattiato,145302,QB,MIDDLE TN,1,75.0,32,35,7.8,2.56,0,0,0.0,57.1,20,0,14,16.7,38,4,12,224,69.1,67.6,69.2,52.9,0,1,42,0,7.1,72.3,2.6,1,2,0,3,1,2,4.8,210,6.0
1,Shedeur Sanders,131396,QB,COLORADO,1,84.4,32,34,10.4,2.83,0,5,13.9,76.5,26,0,13,3.7,40,1,19,143,69.6,90.5,90.2,66.9,0,1,42,0,7.7,144.9,2.5,1,4,0,2,4,0,0.0,445,13.1
1,Alan Bowman,77679,QB,OKLA STATE,1,87.5,32,34,8.1,2.57,0,3,8.8,73.5,25,0,8,10.7,34,3,13,262,69.5,86.6,85.8,62.7,0,0,34,0,0.0,125.5,0.0,0,0,0,2,3,1,2.9,267,7.9
1,Ben Wooldridge,82115,QB,LA LAFAYET,1,90.3,31,33,7.3,2.12,1,2,5.7,75.8,25,0,4,10.7,37,3,15,207,69.4,76.5,77.1,60.0,0,1,39,0,25.0,121.8,2.7,1,3,0,1,3,1,2.6,308,9.3
1,Danny O'Neil,184200,QB,S DIEGO ST,1,80.0,30,33,9.8,2.38,1,1,2.7,66.7,22,0,10,8.3,35,2,9,284,70.3,69.9,68.0,64.0,0,0,39,0,20.0,104.9,5.7,2,0,0,2,2,0,0.0,214,6.5
1,Jacob Zeno,98014,QB,UAB,1,83.9,31,33,4.0,2.77,1,0,0.0,69.7,23,0,12,11.5,37,3,13,321,69.0,75.4,72.2,67.3,0,1,40,1,0.0,94.9,0.0,0,4,0,1,2,1,2.5,215,6.5
1,Carson Beck,124010,QB,GEORGIA,1,78.8,33,33,6.3,2.38,0,0,0.0,69.7,23,0,6,11.5,36,3,14,173,68.9,73.8,69.4,71.8,0,0,38,0,16.7,115.5,2.8,1,2,0,0,2,0,0.0,278,8.4
1,Kyron Drones,144506,QB,VA TECH,1,75.8,33,33,6.7,2.47,0,3,8.8,66.7,22,0,10,12.0,37,3,10,337,73.4,80.5,80.9,64.9,0,1,38,0,30.0,105.9,8.1,3,1,0,0,2,0,0.0,322,9.8
1,Donovan Smith,73929,QB,HOUSTON,1,59.3,27,32,3.5,2.74,0,0,0.0,46.9,15,0,18,6.3,38,1,5,182,70.6,43.5,43.9,58.0,1,2,38,3,22.2,32.7,10.5,4,2,0,4,0,1,2.6,135,4.2
1,Brady Cook,124199,QB,MISSOURI,1,66.7,30,31,10.5,2.41,1,0,0.0,64.5,20,0,4,0.0,33,0,12,229,69.1,66.7,60.6,73.6,0,0,34,0,0.0,97.2,0.0,0,2,0,0,1,0,0.0,228,7.4
1,Brendan Sorsby,156398,QB,CINCINNATI,1,80.0,30,31,9.6,2.74,0,1,3.1,71.0,22,0,5,8.3,31,2,15,138,70.8,78.6,78.8,61.7,0,0,32,0,0.0,134.2,0.0,0,0,0,1,2,0,0.0,383,12.4
1,Noah Fifita,158722,QB,ARIZONA,1,66.7,30,31,13.4,2.69,0,3,9.7,61.3,19,0,6,5.0,32,1,13,109,68.4,91.5,91.0,63.1,0,1,32,0,0.0,131.4,0.0,0,1,0,1,4,0,0.0,422,13.6
1,Cade McNamara,101620,QB,IOWA,1,79.3,29,31,8.0,2.68,1,3,8.8,67.7,21,0,8,8.7,32,2,17,192,68.7,90.7,89.5,71.1,0,0,36,0,0.0,124.5,0.0,0,1,0,1,3,0,0.0,251,8.1
1,Maddux Madsen,163379,QB,BOISE ST,1,74.2,31,31,8.5,2.3,0,1,2.9,71.0,22,0,7,4.3,31,1,13,120,70.0,67.5,66.2,60.8,0,1,34,0,0.0,96.2,0.0,0,0,0,0,1,2,5.9,280,9.0
