Week,player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
1,Vonnie Holliday,340,DI,MIA,1,0,0,,0,0,17,0,0,60.0,57.5,74.6,52.4,60.9,69.9,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,1,37,37,4,1,0,32,0,0,15,21,0,2,2,1,0,0,0,0,0,
1,R.W. McQuarters,348,CB,NYG,1,1,0,,0,0,21,0,0,64.0,62.5,69.5,53.4,61.0,75.1,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,5,2,5,0,0,0,0,0,0,5,1,2,0,0,1,0,0,0,0,0,0,
1,Corey Chavous,350,S,SL,1,0,0,60.0,1,0,26,0,0,29.1,28.6,75.6,43.8,70.0,25.6,0,0,0,0,90,20.0,1,1,1,143.8,3,0,0,16,0,35,73,0,0,0,0,0,53,73,7,31,4,1,4,0,5,0,1,131,68,43.7
1,Patrick Surtain,358,CB,KC,1,0,0,50.0,0,0,16,0,0,78.9,72.8,77.7,,40.4,78.7,0,0,0,0,51,0.0,0,1,0,89.6,3,0,0,0,56,33,60,0,0,0,0,0,0,60,0,27,4,1,5,1,6,0,0,66,27,22.0
1,Brian Kelly,359,CB,DET,1,0,0,50.0,0,0,11,0,0,59.4,62.1,76.5,,66.0,72.5,0,0,0,0,8,0.0,0,0,0,60.4,1,0,0,1,42,14,45,0,0,0,0,0,0,45,0,31,2,0,1,0,2,0,0,8,1,8.0
1,Samari Rolle,360,CB,BLT,1,0,0,,0,0,3,0,0,70.5,63.9,0.0,,52.7,72.8,0,0,0,0,,0.0,0,0,1,0.0,0,0,0,0,44,30,52,0,0,0,0,0,4,52,0,22,4,0,1,0,0,0,0,0,0,
1,Leonard Little,370,ED,SL,1,0,0,,0,0,26,0,0,,55.5,69.1,55.8,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,4,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,
1,Deshea Townsend,391,CB,PIT,1,1,0,75.0,0,0,25,0,0,66.9,66.6,77.1,59.0,63.1,29.5,0,0,0,0,6,33.3,1,1,0,77.1,3,0,0,0,27,32,49,0,0,0,0,0,0,49,1,16,22,1,1,0,4,0,0,5,7,1.7
1,Chris Draft,401,LB,SL,1,0,0,,0,0,26,0,0,61.9,65.8,65.8,59.2,64.3,,0,0,0,0,,,0,0,0,0.0,0,0,0,14,0,3,14,0,0,0,0,0,0,14,1,10,0,0,0,0,0,0,0,0,0,
1,Chartric Darby,421,DI,DET,1,0,0,,0,0,11,0,0,,37.7,75.9,57.2,40.7,69.0,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,27,27,0,27,0,0,0,0,4,23,0,2,2,1,0,0,0,0,0,
1,London Fletcher,424,LB,WAS,1,4,0,75.0,0,0,32,0,0,56.3,55.6,77.7,53.3,59.1,89.3,0,0,0,0,14,0.0,0,0,0,95.8,3,0,0,71,0,36,71,0,0,0,0,0,0,71,4,31,0,6,12,1,4,0,0,30,6,10.0
1,Paul Spicer,433,ED,JAX,1,0,0,,0,0,15,0,0,,56.4,74.6,57.3,57.1,69.9,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,40,40,0,1,0,39,0,0,17,23,0,2,2,1,0,1,0,0,0,
1,Champ Bailey,442,CB,DEN,1,1,0,100.0,0,0,10,0,0,67.2,69.8,77.8,60.0,74.5,45.2,0,0,0,0,5,33.3,1,0,0,87.5,1,0,0,0,49,29,59,0,0,0,0,0,0,59,1,29,10,0,1,0,1,0,0,5,3,5.0
1,Chris McAlister,445,CB,BLT,1,1,0,50.0,0,0,3,1,0,44.6,50.8,77.0,,75.5,44.5,0,0,0,1,22,20.0,1,0,2,29.2,2,0,0,0,47,30,52,0,0,0,0,0,3,52,0,22,2,2,3,0,4,0,0,24,10,12.0
1,Jevon Kearse,450,ED,TEN,1,0,0,,0,0,31,0,0,60.0,49.6,76.3,53.8,50.4,69.2,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,39,39,0,1,0,38,0,0,28,11,0,0,2,0,0,1,0,0,0,
1,Ebenezer Ekuban,454,ED,DEN,1,0,0,100.0,0,0,10,1,0,63.5,58.7,74.2,51.2,55.1,68.1,0,0,0,0,5,0.0,0,0,0,87.5,1,0,0,0,0,1,25,25,0,0,0,25,0,0,15,9,0,1,1,0,1,0,0,5,1,5.0
1,Antoine Winfield,456,CB,MIN,1,2,0,83.3,0,0,18,0,0,43.2,43.7,77.3,49.8,55.7,29.3,0,0,0,0,25,16.7,1,0,0,100.7,5,0,0,0,13,23,49,0,0,0,0,0,0,49,4,22,36,3,3,0,6,0,0,49,15,9.8
1,Patrick Kerney,459,ED,SEA,1,0,0,,0,0,29,0,0,60.3,62.9,76.8,63.2,58.4,70.2,0,2,0,0,,0.0,0,0,0,0.0,0,1,0,0,0,2,48,48,0,0,0,48,0,0,25,21,0,3,2,0,0,3,0,0,0,
1,Mike Peterson,463,LB,JAX,1,2,0,,0,0,15,0,0,58.8,59.7,76.8,53.0,62.4,81.5,0,0,0,0,,0.0,0,0,0,0.0,0,0,0,61,0,25,61,0,0,0,0,0,0,61,4,32,0,3,3,0,0,0,0,0,0,
1,Dre' Bly,467,CB,DEN,1,0,0,71.4,0,0,10,0,0,57.6,51.5,78.6,56.9,36.2,37.9,0,0,0,0,22,25.0,1,1,0,135.1,5,0,0,0,45,29,59,0,0,0,0,0,0,59,1,29,14,2,3,0,7,0,1,57,6,11.4
1,John Thornton,472,DI,CIN,1,0,0,,0,0,7,0,0,,51.2,12.5,52.9,58.5,67.3,0,0,0,0,,50.0,1,0,1,0.0,0,0,0,0,0,0,65,65,0,65,0,0,0,0,23,42,0,0,1,0,0,0,0,0,0,
