Week,player,player_id,position,team_name,player_game_count,base_targets,declined_penalties,franchise_id,man_avg_depth_of_target,man_avoided_tackles,man_caught_percent,man_contested_catch_rate,man_contested_receptions,man_contested_targets,man_drop_rate,man_drops,man_first_downs,man_fumbles,man_grades_hands_drop,man_grades_pass_route,man_interceptions,man_longest,man_pass_block_rate,man_pass_blocks,man_pass_plays,man_receptions,man_route_rate,man_routes,man_targeted_qb_rating,man_targets,man_targets_percent,man_touchdowns,man_yards,man_yards_after_catch,man_yards_after_catch_per_reception,man_yards_per_reception,man_yprr,penalties,zone_avg_depth_of_target,zone_avoided_tackles,zone_caught_percent,zone_contested_catch_rate,zone_contested_receptions,zone_contested_targets,zone_drop_rate,zone_drops,zone_first_downs,zone_fumbles,zone_grades_hands_drop,zone_grades_pass_route,zone_interceptions,zone_longest,zone_pass_block_rate,zone_pass_blocks,zone_pass_plays,zone_receptions,zone_route_rate,zone_routes,zone_targeted_qb_rating,zone_targets,zone_targets_percent,zone_touchdowns,zone_yards,zone_yards_after_catch,zone_yards_after_catch_per_reception,zone_yards_per_reception,zone_yprr
1,Nelson Agholor,9453,WR,PHI,1,8,0,24,3.0,0,66.7,,0,0,0.0,0,2,0,68.3,75.5,0,10,0.0,0,10,2,90.0,9,78.5,3,33.3,0,15,7,3.5,7.5,1.67,0,14.6,1,80.0,0.0,0,1,0.0,0,2,0,72.1,76.9,0,58,0.0,0,17,4,100.0,17,158.3,5,29.4,1,71,28,7.0,17.8,4.18
1,Zach Ertz,7816,TE,PHI,1,8,0,24,11.2,0,100.0,100.0,1,1,0.0,0,4,0,73.4,90.3,0,23,11.1,2,18,5,77.8,14,118.8,5,35.7,0,67,11,2.2,13.4,4.79,0,6.0,0,100.0,,0,0,0.0,0,2,0,70.5,69.2,0,10,8.7,2,23,3,87.0,20,102.8,3,15.0,0,26,8,2.7,8.7,1.3
1,David Johnson,9519,HB,ARZ,1,8,0,1,8.0,0,100.0,,0,0,0.0,0,1,0,68.3,73.0,0,24,37.5,3,8,2,50.0,4,118.8,2,50.0,0,27,11,5.5,13.5,6.75,0,1.5,1,50.0,0.0,0,1,0.0,0,1,0,68.3,43.9,1,16,0.0,0,22,2,90.9,20,29.2,4,20.0,0,24,27,13.5,12.0,1.2
1,Demaryius Thomas,5547,WR,DEN,1,8,0,10,16.3,0,33.3,0.0,0,1,0.0,0,1,0,64.7,78.2,0,29,0.0,0,6,1,100.0,6,70.1,3,50.0,0,29,2,2.0,29.0,4.83,0,7.0,0,80.0,100.0,1,1,20.0,1,3,0,41.6,67.3,0,14,0.0,0,21,4,100.0,21,98.3,5,23.8,0,38,8,2.0,9.5,1.81
1,Dez Bryant,5549,WR,DAL,1,8,0,9,20.5,0,0.0,,0,0,,0,0,0,,51.9,0,0,0.0,0,12,0,91.7,11,39.6,2,18.2,0,0,0,,,0.0,0,20.3,1,66.7,0.0,0,1,0.0,0,1,0,68.3,61.4,0,35,0.0,0,28,2,96.4,27,109.7,3,11.1,0,43,26,13.0,21.5,1.59
1,Stefon Diggs,9579,WR,MIN,1,8,0,18,12.0,0,100.0,100.0,2,2,0.0,0,3,0,70.5,88.3,0,30,0.0,0,14,3,85.7,12,158.3,3,25.0,1,42,9,3.0,14.0,3.5,0,11.0,0,75.0,100.0,1,1,0.0,0,3,0,70.5,81.0,0,20,0.0,0,16,3,100.0,16,155.2,4,25.0,1,49,9,3.0,16.3,3.06
1,Eric Decker,5611,WR,TEN,1,8,0,31,,0,,,0,0,,0,0,0,,55.3,0,0,0.0,0,4,0,100.0,4,0.0,0,0.0,0,0,0,,,0.0,0,7.5,0,33.3,0.0,0,2,0.0,0,0,0,68.3,48.7,0,8,0.0,0,33,2,97.0,32,42.4,6,18.8,0,8,4,2.0,4.0,0.25
1,Jason Witten,1384,TE,DAL,1,8,0,9,,0,,,0,0,,0,0,0,,51.5,0,0,16.7,2,12,0,75.0,9,0.0,0,0.0,0,0,0,,,0.0,0,7.4,0,87.5,100.0,2,2,0.0,0,1,0,75.6,67.6,0,12,17.2,5,29,7,79.3,23,137.0,8,34.8,1,59,11,1.6,8.4,2.57
1,Jesse James,9593,TE,PIT,1,8,0,25,6.0,1,66.7,0.0,0,1,0.0,0,1,0,68.3,89.6,0,19,12.5,1,8,2,87.5,7,95.1,3,42.9,0,27,20,10.0,13.5,3.86,0,3.0,0,100.0,,0,0,0.0,0,0,0,68.3,48.4,0,6,12.0,3,25,2,84.0,21,83.3,2,9.5,0,8,2,1.0,4.0,0.38
1,Mohamed Sanu,7084,WR,ATL,1,8,0,2,3.5,0,50.0,100.0,1,1,0.0,0,1,0,64.7,55.5,0,4,0.0,0,8,1,87.5,7,56.3,2,28.6,0,4,0,0.0,4.0,0.57,0,6.2,1,83.3,,0,0,0.0,0,2,0,73.4,85.3,0,15,0.0,0,21,5,95.2,20,96.5,6,30.0,0,43,9,1.8,8.6,2.15
1,Jamison Crowder,9538,WR,WAS,1,7,0,32,19.0,0,0.0,,0,0,,0,0,0,,54.5,1,0,0.0,0,9,0,88.9,8,0.0,2,25.0,0,0,0,,,0.0,0,6.8,0,50.0,,0,0,0.0,0,0,0,68.3,52.7,0,5,3.4,1,29,2,93.1,27,56.3,4,14.8,0,7,3,1.5,3.5,0.26
1,Michael Thomas,10681,WR,NO,1,7,0,20,8.5,0,50.0,100.0,1,1,0.0,0,0,0,64.7,56.5,0,8,0.0,0,8,1,75.0,6,60.4,2,33.3,0,8,1,1.0,8.0,1.33,0,10.4,0,80.0,50.0,1,2,0.0,0,3,0,72.1,67.9,0,14,0.0,0,27,4,96.3,26,97.5,5,19.2,0,37,7,1.8,9.3,1.42
1,Robbie Chosen,11254,WR,NYJ,1,7,0,22,11.0,0,0.0,,0,0,100.0,1,0,0,28.0,42.8,0,0,0.0,0,11,0,100.0,11,39.6,1,9.1,0,0,0,,,0.0,0,9.2,0,66.7,0.0,0,2,0.0,0,1,0,72.1,59.0,1,11,0.0,0,29,4,96.6,28,33.3,6,21.4,0,22,12,3.0,5.5,0.79
1,Darren Sproles,2347,HB,PHI,1,7,0,24,,0,,,0,0,,0,0,0,,55.5,0,0,11.1,1,9,0,77.8,7,0.0,0,0.0,0,0,0,,,0.0,0,1.2,0,66.7,0.0,0,1,20.0,1,1,0,42.1,49.2,1,13,9.5,2,21,4,90.5,19,37.5,6,31.6,0,28,21,5.3,7.0,1.47
1,Kenny Golladay,11851,WR,DET,1,7,0,11,22.0,0,50.0,50.0,1,2,50.0,1,1,0,28.8,60.7,0,10,0.0,0,13,1,92.3,12,104.2,2,16.7,1,10,0,0.0,10.0,0.83,0,16.2,0,60.0,100.0,1,1,25.0,1,1,0,36.2,74.3,0,45,0.0,0,17,3,100.0,17,140.8,5,29.4,1,59,4,1.3,19.7,3.47
