Week,player,player_id,position,team_name,player_game_count,assists,avg_depth_of_target,catch_rate,coverage_percent,coverage_snaps_per_reception,coverage_snaps_per_target,declined_penalties,dropped_ints,forced_incompletes,forced_incompletion_rate,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,snap_counts_coverage,snap_counts_pass_play,stops,tackles,targets,touchdowns,yards,yards_after_catch,yards_per_coverage_snap,yards_per_reception
1,K.J. Wright,6251,LB,SEA,1,0,7.2,83.3,92.3,9.4,7.8,0,0,0,0.0,29,47.0,56.4,78.0,67.1,76.3,78.9,0,17,0.0,0,0,0,98.6,5,48,52,2,3,6,0,46,19,1.0,9.2
1,Buster Skrine,6289,CB,CHI,1,0,8.5,50.0,100.0,7.0,3.5,0,0,1,16.7,6,67.2,68.3,75.4,,66.1,27.6,0,6,50.0,1,0,0,56.3,3,22,22,0,1,6,0,6,16,0.3,2.0
1,Richard Sherman,6306,CB,SF,1,0,14.8,60.0,100.0,14.0,8.4,1,0,1,20.0,28,48.9,48.5,76.4,,51.2,49.6,1,12,0.0,0,1,3,74.6,3,45,45,0,3,5,1,27,1,0.6,9.0
1,Pernell McPhee,6317,ED,BLT,1,0,,,5.3,,,0,0,0,,3,60.0,85.9,76.1,82.4,61.0,73.3,0,,,0,0,0,0.0,0,1,19,1,0,0,0,0,0,0.0,
1,Chris Harris Jr.,6457,CB,DEN,1,1,3.5,100.0,100.0,13.5,13.5,0,0,0,0.0,10,63.3,66.4,75.0,,69.1,49.4,0,11,33.3,1,0,0,100.0,2,27,27,1,1,2,0,16,9,0.6,8.0
1,Mark Barron,7013,LB,PIT,1,0,0.0,80.0,96.8,7.3,5.8,0,0,0,0.0,25,64.9,69.6,76.1,59.1,70.6,81.2,0,11,0.0,0,0,0,94.2,4,30,31,1,4,5,0,33,30,1.1,8.3
1,Luke Kuechly,7015,LB,CAR,1,0,7.0,33.3,93.2,39.0,13.0,0,0,1,33.3,5,83.8,76.1,77.1,65.2,52.2,82.5,0,5,0.0,0,1,0,42.4,1,41,44,3,4,3,0,5,1,0.1,5.0
1,Stephon Gilmore,7016,CB,NE,1,0,6.6,71.4,100.0,9.2,6.6,0,0,0,0.0,19,49.7,51.3,78.1,,63.0,51.0,0,19,16.7,1,0,1,92.0,5,51,51,0,5,7,0,51,19,1.1,10.2
1,Dre Kirkpatrick,7023,CB,CIN,1,0,7.3,75.0,95.7,7.0,5.3,0,0,0,0.0,7,73.1,68.8,0.0,83.9,55.7,50.4,0,16,20.0,1,0,1,137.5,3,22,23,3,4,4,1,32,23,1.5,10.7
1,Melvin Ingram III,7024,ED,LAC,1,0,,,7.1,,,0,0,0,,27,60.7,65.5,79.4,82.0,45.2,74.4,0,,,0,0,0,0.0,0,2,28,1,0,0,0,0,0,0.0,
1,Chandler Jones,7027,ED,ARZ,1,0,3.0,100.0,19.6,5.0,5.0,0,0,0,0.0,1,52.5,80.9,19.9,87.2,72.2,76.6,0,10,0.0,0,0,1,102.1,2,10,51,1,1,2,0,17,11,1.7,8.5
1,Dont'a Hightower,7030,LB,NE,1,2,-1.0,100.0,46.2,15.0,15.0,0,0,0,0.0,19,84.9,81.4,77.3,51.6,78.3,81.2,0,3,0.0,0,0,0,79.2,1,18,39,0,1,1,0,3,4,0.2,3.0
